FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,USUR,SURAJPUR,RAWATYANA-LALITPUR,09MT,25500,36550,526
01-01-2025,31-12-2025,USUR,SURAJPUR,SIKANDRA-KANPUR DEHAT,20MT,38000,42500,369
01-01-2025,31-12-2025,UROO,ROORKEE,MIYANWALA-DEHRADUN,15MT,6300,8396,61
01-01-2025,31-12-2025,USUR,SURAJPUR,RAWATYANA-LALITPUR,15MT,36550,43800,526
01-01-2025,31-12-2025,USUR,SURAJPUR,SIKANDRA-KANPUR DEHAT,24MT,42500,53125,369
01-01-2025,31-12-2025,USUR,SURAJPUR,RAWATYANA-LALITPUR,20MT,43800,50500,526
01-01-2025,31-12-2025,UROO,ROORKEE,MIYAWALA-DEHRADUN,05MT,3900,5100,61
01-01-2025,31-12-2025,USUR,SURAJPUR,RAWATYANA-LALITPUR,24MT,50500,63125,526
01-01-2025,31-12-2025,UROO,ROORKEE,MIYAWALA-DEHRADUN,09MT,5100,6300,61
01-01-2025,31-12-2025,UKAT,KATHUA,UDHAMPUR-UDHAMPUR,10MT,10950,16400,143
01-01-2025,31-12-2025,UROO,ROORKEE,MIYAWALA-DEHRADUN,15MT,6300,8396,61
01-01-2025,31-12-2025,UROO,ROORKEE,"MIYAWALA-DEHRADUN,MIYANWALA-DEHRADUN,MIYANWALA",03MT,3300,3900,61
01-01-2025,31-12-2025,TGOV,GOVINDSAR,UDHAMPUR-UDHAMPUR,10MT,10950,16400,143
01-01-2025,31-12-2025,UROO,ROORKEE,MODI NAGAR-GHAZIABAD,03MT,4300,6900,154
01-01-2025,31-12-2025,UROO,ROORKEE,MODI NAGAR-GHAZIABAD,05MT,6900,8800,154
01-01-2025,31-12-2025,USUR,SURAJPUR,SIKANDRABAD-BULLANDSHAHAR,03MT,3500,5300,31
01-01-2025,31-12-2025,UROO,ROORKEE,MODI NAGAR-GHAZIABAD,09MT,8800,13000,154
01-01-2025,31-12-2025,USUR,SURAJPUR,SIKANDRABAD-BULLANDSHAHAR,05MT,5300,6000,31
01-01-2025,31-12-2025,UROO,ROORKEE,MODI NAGAR-GHAZIABAD,15MT,13000,16600,154
01-01-2025,31-12-2025,UROO,ROORKEE,MODI NAGAR-GHAZIABAD,20MT,16600,19912,154
01-01-2025,31-12-2025,USUR,SURAJPUR,SIKANDRABAD-BULLANDSHAHAR,09MT,6000,9200,31
01-01-2025,31-12-2025,USUR,SURAJPUR,MODI NAGAR-GHAZIABAD,03MT,4300,6500,53
01-01-2025,31-12-2025,USUR,SURAJPUR,RAYA-MATHURA,03MT,6100,9200,131
01-01-2025,31-12-2025,USUR,SURAJPUR,SIKANDRABAD-BULLANDSHAHAR,15MT,9200,10000,31
01-01-2025,31-12-2025,USUR,SURAJPUR,MODI NAGAR-GHAZIABAD,05MT,6500,8300,53
01-01-2025,31-12-2025,USUR,SURAJPUR,SIKANDRABAD-BULLANDSHAHAR,20MT,10000,11995,31
01-01-2025,31-12-2025,USUR,SURAJPUR,RAYA-MATHURA,05MT,9200,10400,131
01-01-2025,31-12-2025,USUR,SURAJPUR,MODI NAGAR-GHAZIABAD,09MT,8300,11200,53
01-01-2025,31-12-2025,USUR,SURAJPUR,"SIKANDRABAD,SIKANDRABAD-BULLAND SHAHAR",03MT,3500,5300,31
01-01-2025,31-12-2025,USUR,SURAJPUR,RAYA-MATHURA,09MT,10400,12650,131
