FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,UHOW,HOWRAH,NIRSHA-DHANBAD,21MT,23500,26500,251
01-01-2025,31-12-2025,UHOW,HOWRAH,NIRSHA-DHANBAD,25MT,26500,31800,251
01-01-2025,31-12-2025,USUR,SURAJPUR,NIZAMABAD-AZAMGARH,09MT,29800,45750,798
01-01-2025,31-12-2025,USUR,SURAJPUR,NIZAMABAD-AZAMGARH,15MT,45750,54100,798
01-01-2025,31-12-2025,USUR,SURAJPUR,NIZAMABAD-AZAMGARH,20MT,54100,62000,798
01-01-2025,31-12-2025,USUR,SURAJPUR,NIZAMABAD-AZAMGARH,24MT,62000,77500,798
01-01-2025,31-12-2025,DJAI,JAIPUR,NOHAR-HANUMANGARH,03MT,9500,14300,323
01-01-2025,31-12-2025,DJAI,JAIPUR,NOHAR-HANUMANGARH,05MT,14300,22851,323
01-01-2025,31-12-2025,USUR,SURAJPUR,NOIDA-NOIDA,03MT,2700,4500,21
01-01-2025,31-12-2025,USUR,SURAJPUR,NOIDA-NOIDA,05MT,4500,5800,21
01-01-2025,31-12-2025,USUR,SURAJPUR,NOIDA-NOIDA,09MT,5800,8600,21
01-01-2025,31-12-2025,USUR,SURAJPUR,NOIDA-NOIDA,15MT,8600,10000,21
01-01-2025,31-12-2025,USUR,SURAJPUR,NOIDA-NOIDA,20MT,10000,11995,21
01-01-2025,31-12-2025,USUR,SURAJPUR,"NOIDA,NOIDA-GAUTAM BUDH NAGAR",03MT,2700,4491,21
01-01-2025,31-12-2025,USUR,SURAJPUR,"NOIDA,NOIDA-GAUTAM BUDH NAGAR",05MT,4500,5800,21
01-01-2025,31-12-2025,USUR,SURAJPUR,"NOIDA,NOIDA-GAUTAM BUDH NAGAR",09MT,5800,8600,21
01-01-2025,31-12-2025,USUR,SURAJPUR,"NOIDA,NOIDA-GAUTAM BUDH NAGAR",15MT,8600,10000,21
01-01-2025,31-12-2025,USUR,SURAJPUR,"NOIDA,NOIDA-GAUTAM BUDH NAGAR",20MT,10000,11995,21
01-01-2025,31-12-2025,UROO,ROORKEE,NOOR MAHAL-JALANDHAR,09MT,8900,13200,269
01-01-2025,31-12-2025,UROO,ROORKEE,NOOR MAHAL-JALANDHAR,15MT,13200,16900,269
01-01-2025,31-12-2025,UROO,ROORKEE,NOOR MAHAL-JALANDHAR,20MT,16900,19800,269
01-01-2025,31-12-2025,UROO,ROORKEE,NOOR MAHAL-JALANDHAR,24MT,19800,24750,269
01-01-2025,31-12-2025,UROO,ROORKEE,NOOR MAHAL-JALANDHAR,25MT,19800,23760,269
01-01-2025,31-12-2025,USUR,SURAJPUR,NOORPUR-BIJNOR,03MT,6400,9500,158
01-01-2025,31-12-2025,USUR,SURAJPUR,NOORPUR-BIJNOR,05MT,9500,10400,158
01-01-2025,31-12-2025,USUR,SURAJPUR,NOORPUR-BIJNOR,09MT,10400,12650,158
01-01-2025,31-12-2025,USUR,SURAJPUR,NOORPUR-BIJNOR,15MT,12650,16500,158
01-01-2025,31-12-2025,USUR,SURAJPUR,NOORPUR-BIJNOR,20MT,16500,19792,158
01-01-2025,31-12-2025,UGUW,GUWAHATI,NORTH LAKHIMPUR-NORTH LAKHIMPUR,03MT,12100,16200,342
01-01-2025,31-12-2025,UGUW,GUWAHATI,NORTH LAKHIMPUR-NORTH LAKHIMPUR,05MT,16200,25888,342
