FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,USUR,SURAJPUR,AURANGABAD-BULANDSHAHAR,05MT,7100,8300,62
01-01-2025,31-12-2025,USUR,SURAJPUR,AURANGABAD-BULANDSHAHAR,09MT,8300,11400,62
01-01-2025,31-12-2025,USUR,SURAJPUR,AURANGABAD-BULANDSHAHAR,15MT,11400,14500,62
01-01-2025,31-12-2025,USUR,SURAJPUR,AURANGABAD-BULANDSHAHAR,20MT,14500,17393,62
01-01-2025,31-12-2025,UHOW,HOWRAH,UDAYCHANDPUR-MURSHIDABAD,03MT,8200,12500,241
01-01-2025,31-12-2025,UHOW,HOWRAH,UDAYCHANDPUR-MURSHIDABAD,06MT,12500,16646,241
01-01-2025,31-12-2025,UHOW,HOWRAH,KOLKATA-KOLKATA,03MT,5200,7500,30
01-01-2025,31-12-2025,UHOW,HOWRAH,KOLKATA-KOLKATA,06MT,7500,9988,30
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,HALIYAL-UTTARA KANNADA,03MT,7900,11900,256
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,HALIYAL-UTTARA KANNADA,05MT,11900,17800,256
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,HALIYAL-UTTARA KANNADA,09MT,17800,31625,256
01-01-2025,31-12-2025,UROO,ROORKEE,PATHANKOT-GURDASPUR,09MT,12300,17400,404
01-01-2025,31-12-2025,UROO,ROORKEE,PATHANKOT-GURDASPUR,15MT,17400,22800,404
01-01-2025,31-12-2025,UROO,ROORKEE,PATHANKOT-GURDASPUR,20MT,22800,27100,404
01-01-2025,31-12-2025,UROO,ROORKEE,PATHANKOT-GURDASPUR,24MT,27100,33875,404
01-01-2025,31-12-2025,DBNG,BANGALORE,BELACHALAVADI-CHAMARAJANAGARA,03MT,7200,10900,196
01-01-2025,31-12-2025,DBNG,BANGALORE,BELACHALAVADI-CHAMARAJANAGARA,05MT,10900,17418,196
01-01-2025,31-12-2025,DWAD,WADI,ARMORI-GADCHIROLII,03MT,5200,8100,148
01-01-2025,31-12-2025,DWAD,WADI,ARMORI-GADCHIROLII,05MT,8100,12944,148
01-01-2025,31-12-2025,DWAD,WADI,ARMORI-GADCHIROLII,09MT,14500,25762,148
01-01-2025,31-12-2025,DPUR,GULAB BAGH,SEMAPUR-KATIHAR,03MT,4300,5400,61
01-01-2025,31-12-2025,DPUR,GULAB BAGH,SEMAPUR-KATIHAR,05MT,5400,8100,61
01-01-2025,31-12-2025,DPUR,GULAB BAGH,SEMAPUR-KATIHAR,09MT,8100,14391,61
01-01-2025,31-12-2025,DBNG,BANGALORE,SHIRALAKOPPA-SHIVAMOGA,03MT,11400,12500,333
01-01-2025,31-12-2025,DBNG,BANGALORE,SHIRALAKOPPA-SHIVAMOGA,05MT,12500,19975,333
01-01-2025,31-12-2025,DAHM,AHMEDABAD,HALOL-PANCH MAHALS,03MT,7500,9200,138
01-01-2025,31-12-2025,DAHM,AHMEDABAD,HALOL-PANCH MAHALS,05MT,9200,14702,138
01-01-2025,31-12-2025,USUR,SURAJPUR,BARWASAGAR-JHANSI,09MT,24200,31400,450
01-01-2025,31-12-2025,USUR,SURAJPUR,BARWASAGAR-JHANSI,15MT,31400,39800,450
01-01-2025,31-12-2025,USUR,SURAJPUR,BARWASAGAR-JHANSI,20MT,39800,43700,450
