FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,USIL,SILVASSA,DHULE-DHULE,16MT,27400,35200,291
01-01-2025,31-12-2025,USIL,SILVASSA,DHULE-DHULE,21MT,35200,38400,291
01-01-2025,31-12-2025,USIL,SILVASSA,DHULE-DHULE,24MT,38400,48000,291
01-01-2025,31-12-2025,UHOW,HOWRAH,DHULIYAN-MURSHIDABAD,03MT,10000,14000,317
01-01-2025,31-12-2025,UHOW,HOWRAH,DHULIYAN-MURSHIDABAD,06MT,14000,18643,317
01-01-2025,31-12-2025,UROO,ROORKEE,DHULKOT-AMBALA,09MT,7100,10200,131
01-01-2025,31-12-2025,UROO,ROORKEE,DHULKOT-AMBALA,15MT,10200,13000,131
01-01-2025,31-12-2025,UROO,ROORKEE,DHULKOT-AMBALA,20MT,13000,15593,131
01-01-2025,31-12-2025,DRAI,RAIPUR,DHURAGUDI-GARIABAND,03MT,4800,7800,200
01-01-2025,31-12-2025,DRAI,RAIPUR,DHURAGUDI-GARIABAND,05MT,7800,12464,200
01-01-2025,31-12-2025,UROO,ROORKEE,DHURI-SANGRUR,09MT,8800,12300,249
01-01-2025,31-12-2025,UROO,ROORKEE,DHURI-SANGRUR,15MT,12300,16000,249
01-01-2025,31-12-2025,UROO,ROORKEE,DHURI-SANGRUR,20MT,16000,19000,249
01-01-2025,31-12-2025,UROO,ROORKEE,DHURI-SANGRUR,24MT,19000,23750,249
01-01-2025,31-12-2025,UROO,ROORKEE,DHURI-SANGRUR,25MT,19000,22800,249
01-01-2025,31-12-2025,UHOW,HOWRAH,DIAMOND HARBOUR-SOUTH24PARGANAS,03MT,5000,7000,75
01-01-2025,31-12-2025,UHOW,HOWRAH,DIAMOND HARBOUR-SOUTH24PARGANAS,06MT,7000,9322,75
01-01-2025,31-12-2025,USUR,SURAJPUR,DIBIYAPUR-AURAIA,09MT,23500,31050,372
01-01-2025,31-12-2025,USUR,SURAJPUR,DIBIYAPUR-AURAIA,15MT,31050,38100,372
01-01-2025,31-12-2025,USUR,SURAJPUR,DIBIYAPUR-AURAIA,20MT,38100,43000,372
01-01-2025,31-12-2025,USUR,SURAJPUR,DIBIYAPUR-AURAIA,24MT,43000,53750,372
01-01-2025,31-12-2025,TKNP,KANPUR,DIBIYAPUR-AURAIYA,09MT,9000,14100,61
01-01-2025,31-12-2025,TKNP,KANPUR,DIBIYAPUR-AURAIYA,15MT,14100,18000,61
01-01-2025,31-12-2025,TKNP,KANPUR,DIBIYAPUR-AURAIYA,20MT,18000,21000,61
01-01-2025,31-12-2025,TKNP,KANPUR,DIBIYAPUR-AURAIYA,24MT,21000,26250,61
01-01-2025,31-12-2025,USUR,SURAJPUR,"DIBIYAPUR,DIBIYAPUR-AURAIYA",09MT,23500,31050,372
01-01-2025,31-12-2025,USUR,SURAJPUR,"DIBIYAPUR,DIBIYAPUR-AURAIYA",15MT,31050,38100,372
01-01-2025,31-12-2025,USUR,SURAJPUR,"DIBIYAPUR,DIBIYAPUR-AURAIYA",20MT,38100,43000,372
01-01-2025,31-12-2025,USUR,SURAJPUR,"DIBIYAPUR,DIBIYAPUR-AURAIYA",24MT,43000,53750,372
01-01-2025,31-12-2025,UGUW,GUWAHATI,DIBRUGARH-DIBRUGARH,09MT,27000,31000,467
