FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,USUR,SURAJPUR,"SIKANDRABAD,SIKANDRABAD-BULLAND SHAHAR",05MT,5300,6100,31
01-01-2025,31-12-2025,USUR,SURAJPUR,MODI NAGAR-GHAZIABAD,15MT,11200,14200,53
01-01-2025,31-12-2025,USUR,SURAJPUR,MODI NAGAR-GHAZIABAD,20MT,14200,17033,53
01-01-2025,31-12-2025,USUR,SURAJPUR,"SIKANDRABAD,SIKANDRABAD-BULLAND SHAHAR",09MT,6100,9200,31
01-01-2025,31-12-2025,USUR,SURAJPUR,"SIKANDRABAD,SIKANDRABAD-BULLAND SHAHAR",15MT,9200,10000,31
01-01-2025,31-12-2025,USUR,SURAJPUR,"SIKANDRABAD,SIKANDRABAD-BULLAND SHAHAR",20MT,10000,11995,31
01-01-2025,31-12-2025,DJAI,JAIPUR,SIKAR-SIKAR,03MT,6800,10800,105
01-01-2025,31-12-2025,UHOW,HOWRAH,UKHRA-BARDDHAMAN,03MT,7500,10400,202
01-01-2025,31-12-2025,DJAI,JAIPUR,SIKAR-SIKAR,05MT,10800,17258,105
01-01-2025,31-12-2025,UROO,ROORKEE,MOHALI-ROPAR,09MT,8300,11000,200
01-01-2025,31-12-2025,UHOW,HOWRAH,UKHRA-BARDDHAMAN,06MT,10400,13849,202
01-01-2025,31-12-2025,USUR,SURAJPUR,SIKRI-FARIDABAD,09MT,8000,9700,58
01-01-2025,31-12-2025,UROO,ROORKEE,MOHALI-ROPAR,15MT,11000,14500,200
01-01-2025,31-12-2025,DBHI,BHIWANDI,ULHASNAGAR-THANE,03MT,5800,8550,18
01-01-2025,31-12-2025,UROO,ROORKEE,MOHALI-ROPAR,20MT,14500,17000,200
01-01-2025,31-12-2025,DBHI,BHIWANDI,ULHASNAGAR-THANE,05MT,8550,13663,18
01-01-2025,31-12-2025,USUR,SURAJPUR,SIKRI-FARIDABAD,15MT,9700,11800,58
01-01-2025,31-12-2025,DGWA,GWALIOR,UMARI-BHIND,03MT,4100,6300,103
01-01-2025,31-12-2025,UROO,ROORKEE,MOHALI-ROPAR,24MT,17000,21250,200
01-01-2025,31-12-2025,USUR,SURAJPUR,SIKRI-FARIDABAD,20MT,11800,12800,58
01-01-2025,31-12-2025,DGWA,GWALIOR,UMARI-BHIND,05MT,6300,10067,103
01-01-2025,31-12-2025,USUR,SURAJPUR,SIKRI-FARIDABAD,24MT,12800,16000,58
01-01-2025,31-12-2025,DJAB,JABALPUR,UMARIA-UMARIA,03MT,5800,8000,137
01-01-2025,31-12-2025,DJAB,JABALPUR,UMARIA-UMARIA,05MT,8000,12784,137
01-01-2025,31-12-2025,UROO,ROORKEE,MOHALI-ROPAR,25MT,17000,20400,200
01-01-2025,31-12-2025,USIL,SILVASSA,UMARKHED-YAVATMAL,09MT,36400,49100,828
01-01-2025,31-12-2025,USUR,SURAJPUR,MOHAMMDI-LAKHIMPUR KHERI,09MT,16000,20700,355
01-01-2025,31-12-2025,USIL,SILVASSA,UMARKHED-YAVATMAL,16MT,49100,62200,828
01-01-2025,31-12-2025,USUR,SURAJPUR,MOHAMMDI-LAKHIMPUR KHERI,15MT,20700,25500,355
01-01-2025,31-12-2025,USIL,SILVASSA,UMARKHED-YAVATMAL,21MT,62200,70600,828
