FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,UROO,ROORKEE,JWALAPUR-HARIDWAR,15MT,5800,7729,31
01-01-2025,31-12-2025,DPAR,KALA AMB,BHOTA-HAMIRPUR,03MT,10700,14900,244
01-01-2025,31-12-2025,DPAR,KALA AMB,BHOTA-HAMIRPUR,05MT,14900,23810,244
01-01-2025,31-12-2025,UROO,ROORKEE,MALERKOTLA-MALERKOTLA,09MT,9100,12900,258
01-01-2025,31-12-2025,UROO,ROORKEE,MALERKOTLA-MALERKOTLA,15MT,12900,16900,258
01-01-2025,31-12-2025,UROO,ROORKEE,MALERKOTLA-MALERKOTLA,20MT,16900,18800,258
01-01-2025,31-12-2025,UROO,ROORKEE,MALERKOTLA-MALERKOTLA,24MT,18800,23500,258
01-01-2025,31-12-2025,USUR,SURAJPUR,SAHPURA-FARIDABAD,09MT,8000,9600,58
01-01-2025,31-12-2025,USUR,SURAJPUR,SAHPURA-FARIDABAD,15MT,9600,11600,58
01-01-2025,31-12-2025,USUR,SURAJPUR,SAHPURA-FARIDABAD,20MT,11600,12800,58
01-01-2025,31-12-2025,USUR,SURAJPUR,SAHPURA-FARIDABAD,24MT,12800,16000,58
01-01-2025,31-12-2025,UHOW,HOWRAH,MADHUNIA-MURSHIDABAD,03MT,7500,10100,198
01-01-2025,31-12-2025,UHOW,HOWRAH,MADHUNIA-MURSHIDABAD,06MT,10100,13450,198
01-01-2025,31-12-2025,UUJJ,UJJAIN,CHHATARPUR-CHHATARPUR,09MT,28000,34000,501
01-01-2025,31-12-2025,UUJJ,UJJAIN,CHHATARPUR-CHHATARPUR,16MT,34000,37000,501
01-01-2025,31-12-2025,UUJJ,UJJAIN,CHHATARPUR-CHHATARPUR,21MT,37000,40200,501
01-01-2025,31-12-2025,UUJJ,UJJAIN,CHHATARPUR-CHHATARPUR,24MT,40200,50250,501
01-01-2025,31-12-2025,DCUT,CUTTACK,CHATRAPUR-GANJAM,03MT,5500,7700,210
01-01-2025,31-12-2025,DCUT,CUTTACK,CHATRAPUR-GANJAM,05MT,7700,12305,210
01-01-2025,31-12-2025,DHYD,HYDERABAD,SURYAPET-SURYAPET,01MT,4500,13455,113
01-01-2025,31-12-2025,DJAL,JALPAIGURI,BHOTPATTY-JALPAIGURI,03MT,5800,8300,60
01-01-2025,31-12-2025,DJAL,JALPAIGURI,BHOTPATTY-JALPAIGURI,06MT,8300,11053,60
01-01-2025,31-12-2025,DCUT,CUTTACK,PAIKARAPUR-CUTTACK,03MT,1750,2500,12
01-01-2025,31-12-2025,DCUT,CUTTACK,PAIKARAPUR-CUTTACK,05MT,2500,3995,12
01-01-2025,31-12-2025,DCUT,CUTTACK,BHOISAHI-BALESHWAR,03MT,5200,7800,166
01-01-2025,31-12-2025,DCUT,CUTTACK,BHOISAHI-BALESHWAR,05MT,7800,12464,166
01-01-2025,31-12-2025,DCUT,CUTTACK,KESINGA-KALAHANDI,03MT,7300,12000,405
01-01-2025,31-12-2025,DCUT,CUTTACK,KESINGA-KALAHANDI,05MT,12000,19176,405
01-01-2025,31-12-2025,UHOW,HOWRAH,DEBRA-PASCHIM MEDINIPUR,03MT,6000,8200,127
01-01-2025,31-12-2025,UHOW,HOWRAH,DEBRA-PASCHIM MEDINIPUR,05MT,8200,13104,127
