FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",BANTALAB-JAMMU,03MT,3350,5200,93
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",BARI BRAHMNA-SAMBA,03MT,3100,4800,71
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",BASHOLI-KATHUA,03MT,3650,5700,87
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",BHADARWAH-DODA,03MT,9600,15600,251
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",BILLAWAR-KATHUA,03MT,3650,5700,104
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",BISHNAH-JAMMU,03MT,3200,4900,74
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",BUDDAL-RAJOURI,03MT,10200,16600,327
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",DHANGRI-RAJOURI,03MT,7600,12300,241
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",GAJANSOO-JAMMU,03MT,3800,5900,91
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",GANDHI NAGAR-JAMMU,03MT,3200,4900,90
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",GHAGWAL-KATHUA,03MT,1950,2900,39
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",HIRANAGAR-KATHUA,03MT,2150,3200,31
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",JAMMU-JAMMU,03MT,3250,5000,87
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",KALAKOTE-RAJOURI,03MT,7500,12100,267
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",KANGRAIL-JAMMU,03MT,3500,5400,91
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",KATHUA-KATHUA,03MT,800,1250,7
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",KHOUR-JAMMU,03MT,4600,7300,135
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",LATHOONG-POONCH,03MT,10200,16600,350
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",MANDI-POONCH,03MT,10200,16600,350
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",MANWAL-UDHAMPUR,03MT,3300,5100,101
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",MARH-JAMMU,03MT,3800,5900,120
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",MENDHAR-POONCH,03MT,10200,16600,303
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",MIRAN SAHIB-JAMMU,03MT,3500,5400,80
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",NAGROTA-JAMMU,03MT,3800,5900,95
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",NOWSHERA-RAJOURI,03MT,7300,11800,239
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",PALOURA-JAMMU,03MT,3300,5100,85
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",PHINTER-KATHUA,03MT,3200,4900,73
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",POONCH-POONCH,03MT,10200,16600,327
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",R.S.PURA-JAMMU,03MT,3150,4900,92
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",RAJOURI-RAJOURI,03MT,7600,12300,269
