FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,DWAD,WADI,PULGAON-WARDHA,05MT,8000,12784,131
01-01-2025,31-12-2025,DWAD,WADI,PULGAON-WARDHA,09MT,14200,25229,131
01-01-2025,31-12-2025,DBHI,BHIWANDI,KALAMBOLI-RAIGAD,03MT,6450,9500,34
01-01-2025,31-12-2025,DBHI,BHIWANDI,KALAMBOLI-RAIGAD,05MT,9500,15181,34
01-01-2025,31-12-2025,DRAI,RAIPUR,SAKTI-JANJGIR CHAMPA,03MT,5900,8800,220
01-01-2025,31-12-2025,DRAI,RAIPUR,SAKTI-JANJGIR CHAMPA,05MT,8800,14062,220
01-01-2025,31-12-2025,DRAI,RAIPUR,KAWARDHA-KABEERDHAM,03MT,4500,7200,116
01-01-2025,31-12-2025,DRAI,RAIPUR,KAWARDHA-KABEERDHAM,05MT,7200,11506,116
01-01-2025,31-12-2025,UROO,ROORKEE,BUDAUN-BUDAUN,09MT,13800,21500,353
01-01-2025,31-12-2025,UROO,ROORKEE,BUDAUN-BUDAUN,15MT,21500,25000,353
01-01-2025,31-12-2025,UROO,ROORKEE,BUDAUN-BUDAUN,20MT,25000,29987,353
01-01-2025,31-12-2025,DRAI,RAIPUR,BHANUPRATAPPUR-RAIPUR,03MT,4900,7800,167
01-01-2025,31-12-2025,DRAI,RAIPUR,BHANUPRATAPPUR-RAIPUR,05MT,7800,12464,167
01-01-2025,31-12-2025,DDHA,DHANBAD,SARAIYAHAT-DUMKA,03MT,7500,11200,170
01-01-2025,31-12-2025,DDHA,DHANBAD,SARAIYAHAT-DUMKA,05MT,11200,17898,170
01-01-2025,31-12-2025,DJAB,JABALPUR,AMARWARA-CHHINDWARA,03MT,6700,10600,224
01-01-2025,31-12-2025,DJAB,JABALPUR,AMARWARA-CHHINDWARA,05MT,10600,16939,224
01-01-2025,31-12-2025,DJAB,JABALPUR,DEORI-SAGAR,03MT,6500,10200,179
01-01-2025,31-12-2025,DJAB,JABALPUR,DEORI-SAGAR,05MT,10200,16300,179
01-01-2025,31-12-2025,DJAB,JABALPUR,KHURAI-SAGAR,03MT,6700,10600,224
01-01-2025,31-12-2025,DJAB,JABALPUR,KHURAI-SAGAR,05MT,10600,16939,224
01-01-2025,31-12-2025,USIL,SILVASSA,JARIPATKA-NAGPUR,30MT,85000,85000,817
01-01-2025,31-12-2025,DAHM,AHMEDABAD,THARA-BANAS KANTHA,03MT,8800,10200,256
01-01-2025,31-12-2025,DAHM,AHMEDABAD,THARA-BANAS KANTHA,05MT,10200,16300,256
01-01-2025,31-12-2025,DIND,INDORE,BHIKANGAON-KHARGONE WEST NIMAR,03MT,5700,8500,147
01-01-2025,31-12-2025,DIND,INDORE,BHIKANGAON-KHARGONE WEST NIMAR,05MT,8500,13583,147
01-01-2025,31-12-2025,UKAT,KATHUA,BARI BRAHMANA-SAMBA,03MT,3100,4800,71
01-01-2025,31-12-2025,UUJJ,UJJAIN,DALOUDA-MANDSAUR,30MT,27241,27241,160
01-01-2025,31-12-2025,UUJJ,UJJAIN,PANDHURNA-CHHINDWARA,30MT,48734,48734,450
01-01-2025,31-12-2025,UUJJ,UJJAIN,JASHPUR-JASHPUR,30MT,81223,81223,1135
