FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,DVIJ,VIJAYAWADA,KALYANDURG-ANANTAPUR,01MT,7100,21229,544
01-01-2025,31-12-2025,DJAI,JAIPUR,KAMA-BHARATPUR,03MT,9300,13700,249
01-01-2025,31-12-2025,DJAI,JAIPUR,KAMA-BHARATPUR,05MT,13700,21893,249
01-01-2025,31-12-2025,DDHA,DHANBAD,KHUNTI-KHUNTI,03MT,8000,11000,187
01-01-2025,31-12-2025,DDHA,DHANBAD,KHUNTI-KHUNTI,05MT,11000,17578,187
01-01-2025,31-12-2025,UHOW,HOWRAH,KHUNTI-KHUNTI,09MT,20500,23000,361
01-01-2025,31-12-2025,UHOW,HOWRAH,KHUNTI-KHUNTI,16MT,23000,28800,361
01-01-2025,31-12-2025,UHOW,HOWRAH,KHUNTI-KHUNTI,21MT,28800,32500,361
01-01-2025,31-12-2025,UHOW,HOWRAH,KHUNTI-KHUNTI,25MT,32500,39000,361
01-01-2025,31-12-2025,USUR,SURAJPUR,KHURJA-BULLANDSHAHAR,03MT,5200,7000,63
01-01-2025,31-12-2025,DCUT,CUTTACK,KAMAKHYA NAGAR-DHENKANAL,03MT,4150,4800,77
01-01-2025,31-12-2025,USUR,SURAJPUR,KHURJA-BULLANDSHAHAR,05MT,7000,8500,63
01-01-2025,31-12-2025,DCUT,CUTTACK,KAMAKHYA NAGAR-DHENKANAL,05MT,4800,7670,77
01-01-2025,31-12-2025,USUR,SURAJPUR,KHURJA-BULLANDSHAHAR,09MT,8500,11400,63
01-01-2025,31-12-2025,UHOW,HOWRAH,KAMAKHYA NAGAR-DHENKANAL,09MT,19600,25000,401
01-01-2025,31-12-2025,USUR,SURAJPUR,KHURJA-BULLANDSHAHAR,15MT,11400,14300,63
01-01-2025,31-12-2025,UHOW,HOWRAH,KAMAKHYA NAGAR-DHENKANAL,16MT,25000,32797,401
01-01-2025,31-12-2025,USUR,SURAJPUR,KHURJA-BULLANDSHAHAR,20MT,14300,17153,63
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,KAMALNAGAR-BIDAR,03MT,8500,12000,295
01-01-2025,31-12-2025,USUR,SURAJPUR,"KHURJA,KHURJA-BULLAND SHAHAR",03MT,5200,7100,63
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,KAMALNAGAR-BIDAR,05MT,12000,18500,295
01-01-2025,31-12-2025,USUR,SURAJPUR,"KHURJA,KHURJA-BULLAND SHAHAR",05MT,7100,8500,63
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,KAMALNAGAR-BIDAR,09MT,18500,32868,295
01-01-2025,31-12-2025,USUR,SURAJPUR,"KHURJA,KHURJA-BULLAND SHAHAR",09MT,8500,11400,63
01-01-2025,31-12-2025,UHOW,HOWRAH,KAMARHATI-KOLKATA,03MT,4500,6500,48
01-01-2025,31-12-2025,USUR,SURAJPUR,"KHURJA,KHURJA-BULLAND SHAHAR",15MT,11400,14500,63
01-01-2025,31-12-2025,UHOW,HOWRAH,KAMARHATI-KOLKATA,06MT,6500,8656,48
01-01-2025,31-12-2025,DUDA,UDAIPUR,KAMLIGHAT-RAJSAMAND,03MT,6000,9100,131
01-01-2025,31-12-2025,USUR,SURAJPUR,"KHURJA,KHURJA-BULLAND SHAHAR",20MT,14500,17393,63
01-01-2025,31-12-2025,DUDA,UDAIPUR,KAMLIGHAT-RAJSAMAND,05MT,9100,14542,131
