FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,UROO,ROORKEE,NAJIBABAD-BIJNOR,03MT,4450,5100,83
01-01-2025,31-12-2025,UROO,ROORKEE,NAJIBABAD-BIJNOR,05MT,5100,7100,83
01-01-2025,31-12-2025,UROO,ROORKEE,NAJIBABAD-BIJNOR,09MT,7100,9600,83
01-01-2025,31-12-2025,UROO,ROORKEE,NAJIBABAD-BIJNOR,15MT,9600,12200,83
01-01-2025,31-12-2025,UROO,ROORKEE,NAJIBABAD-BIJNOR,20MT,12200,14634,83
01-01-2025,31-12-2025,DBNG,BANGALORE,PAVAGADA-TUMAKURU,03MT,7400,9900,140
01-01-2025,31-12-2025,DBNG,BANGALORE,PAVAGADA-TUMAKURU,05MT,9900,15820,140
01-01-2025,31-12-2025,UHOW,HOWRAH,NATUN PARA-HOWRAH,03MT,3500,5822,28
01-01-2025,31-12-2025,UHOW,HOWRAH,NATUN PARA-HOWRAH,06MT,6000,7990,28
01-01-2025,31-12-2025,UHOW,HOWRAH,KAMAKHYANAGAR-DHENKANAL,09MT,19600,25000,401
01-01-2025,31-12-2025,UHOW,HOWRAH,KAMAKHYANAGAR-DHENKANAL,16MT,25000,32797,401
01-01-2025,31-12-2025,UHOW,HOWRAH,GUSHKARA-PURBA BARDHAMAN,03MT,6500,9300,67
01-01-2025,31-12-2025,UHOW,HOWRAH,GUSHKARA-PURBA BARDHAMAN,06MT,9300,12385,67
01-01-2025,31-12-2025,DHYD,HYDERABAD,RAMAYANPET-MEDAK,03MT,4800,7500,104
01-01-2025,31-12-2025,DHYD,HYDERABAD,RAMAYANPET-MEDAK,05MT,7500,11985,104
01-01-2025,31-12-2025,DHYD,HYDERABAD,JAGTIAL-JAGTIAL,03MT,7500,11000,267
01-01-2025,31-12-2025,DHYD,HYDERABAD,JAGTIAL-JAGTIAL,05MT,11000,17578,267
01-01-2025,31-12-2025,DHYD,HYDERABAD,KUBEER-ADILABAD,03MT,7900,11200,300
01-01-2025,31-12-2025,DHYD,HYDERABAD,KUBEER-ADILABAD,05MT,11200,17898,300
01-01-2025,31-12-2025,THAR,OKHLA,"OKHLA PHASE-1,OKHLA PHASE-I,OKHLA PHASE-1-SOUTH DELHI",0.25MT,200,200,1
01-01-2025,31-12-2025,THAR,OKHLA,"OKHLA PHASE-1,OKHLA PHASE-I,OKHLA PHASE-1-SOUTH DELHI",0.5MT,300,300,1
01-01-2025,31-12-2025,THAR,OKHLA,"OKHLA PHASE-1,OKHLA PHASE-I,OKHLA PHASE-1-SOUTH DELHI",0.75MT,400,400,1
01-01-2025,31-12-2025,UROO,ROORKEE,PITHORAGARH-PITHORAGARH,09MT,26500,43500,446
01-01-2025,31-12-2025,UROO,ROORKEE,PITHORAGARH-PITHORAGARH,15MT,43500,57971,446
01-01-2025,31-12-2025,USUR,SURAJPUR,NEW VIJAY NAGAR-GHAZIABAD,03MT,2400,3900,18
01-01-2025,31-12-2025,USUR,SURAJPUR,NEW VIJAY NAGAR-GHAZIABAD,05MT,3900,5400,18
01-01-2025,31-12-2025,USUR,SURAJPUR,NEW VIJAY NAGAR-GHAZIABAD,09MT,5400,7900,18
01-01-2025,31-12-2025,USUR,SURAJPUR,NEW VIJAY NAGAR-GHAZIABAD,15MT,7900,9200,18
01-01-2025,31-12-2025,USUR,SURAJPUR,NEW VIJAY NAGAR-GHAZIABAD,20MT,9200,11035,18
01-01-2025,31-12-2025,USUR,SURAJPUR,AURANGABAD-BULANDSHAHAR,03MT,5200,7100,62
