FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,DBHI,BHIWANDI,NALLASOPARA (E)-SHIRDI NAGAR,05MT,7900,12624,51
01-01-2025,31-12-2025,DPAR,KALA AMB,NALNI-MANDI,03MT,10800,13400,252
01-01-2025,31-12-2025,DPAR,KALA AMB,NALNI-MANDI,05MT,13400,21413,252
01-01-2025,31-12-2025,USIL,SILVASSA,NANDANI-KOLHAPUR,09MT,28500,41800,570
01-01-2025,31-12-2025,USIL,SILVASSA,NANDANI-KOLHAPUR,16MT,41800,52500,570
01-01-2025,31-12-2025,USIL,SILVASSA,NANDANI-KOLHAPUR,21MT,52500,58200,570
01-01-2025,31-12-2025,USIL,SILVASSA,NANDANI-KOLHAPUR,24MT,58200,72750,570
01-01-2025,31-12-2025,DARN,AURANGABAD,NANDED-NANDED,03MT,9400,14300,322
01-01-2025,31-12-2025,DARN,AURANGABAD,NANDED-NANDED,05MT,14300,22851,322
01-01-2025,31-12-2025,DARN,AURANGABAD,NANDED-NANDED,09MT,24200,42995,322
01-01-2025,31-12-2025,USIL,SILVASSA,NANDED-NANDED,09MT,32700,47000,757
01-01-2025,31-12-2025,USIL,SILVASSA,NANDED-NANDED,16MT,47000,57900,757
01-01-2025,31-12-2025,USIL,SILVASSA,NANDED-NANDED,21MT,57900,64700,757
01-01-2025,31-12-2025,USIL,SILVASSA,NANDED-NANDED,24MT,64700,80875,757
01-01-2025,31-12-2025,USUR,SURAJPUR,NANDED-NANDED,20MT,80000,85000,1476
01-01-2025,31-12-2025,USUR,SURAJPUR,NANDED-NANDED,24MT,85000,106250,1476
01-01-2025,31-12-2025,DARN,AURANGABAD,NANDGAON-NASHIK,03MT,5800,8500,96
01-01-2025,31-12-2025,DARN,AURANGABAD,NANDGAON-NASHIK,05MT,8500,12000,96
01-01-2025,31-12-2025,DARN,AURANGABAD,NANDGAON-NASHIK,09MT,12000,21320,96
01-01-2025,31-12-2025,USIL,SILVASSA,NANDGAON-NASHIK,09MT,18700,28300,264
01-01-2025,31-12-2025,USIL,SILVASSA,NANDGAON-NASHIK,16MT,28300,35200,264
01-01-2025,31-12-2025,USIL,SILVASSA,NANDGAON-NASHIK,21MT,35200,38400,264
01-01-2025,31-12-2025,USIL,SILVASSA,NANDGAON-NASHIK,24MT,38400,48000,264
01-01-2025,31-12-2025,UHOW,HOWRAH,NANDIGRAM-PURBA MEDINIPUR,03MT,5300,7600,96
01-01-2025,31-12-2025,UHOW,HOWRAH,NANDIGRAM-PURBA MEDINIPUR,06MT,7600,10121,96
01-01-2025,31-12-2025,DARN,AURANGABAD,NANDURBAR-NANDURBAR,03MT,8600,12500,260
01-01-2025,31-12-2025,DARN,AURANGABAD,NANDURBAR-NANDURBAR,05MT,12500,19975,260
01-01-2025,31-12-2025,DARN,AURANGABAD,NANDURBAR-NANDURBAR,09MT,21500,38198,260
01-01-2025,31-12-2025,USIL,SILVASSA,NANDURBAR-NANDURBAR,09MT,18100,27200,257
01-01-2025,31-12-2025,USIL,SILVASSA,NANDURBAR-NANDURBAR,16MT,27200,35200,257
