FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,USUR,SURAJPUR,MAHARAJGANJ-MAHARAJGANJ,24MT,60000,75000,808
01-01-2025,31-12-2025,UHOW,HOWRAH,"PARK ROAD,PARK ROAD-NORTH 24 PARGANA",03MT,4500,6500,50
01-01-2025,31-12-2025,UHOW,HOWRAH,"PARK ROAD,PARK ROAD-NORTH 24 PARGANA",06MT,6500,8656,50
01-01-2025,31-12-2025,DARN,AURANGABAD,PARLIVAIJNATH-BEED,03MT,7800,11700,233
01-01-2025,31-12-2025,DARN,AURANGABAD,PARLIVAIJNATH-BEED,05MT,11700,18697,233
01-01-2025,31-12-2025,DARN,AURANGABAD,PARLIVAIJNATH-BEED,09MT,20200,35889,233
01-01-2025,31-12-2025,USIL,SILVASSA,PARLIVAIJNATH-BEED,09MT,31200,43800,666
01-01-2025,31-12-2025,USIL,SILVASSA,PARLIVAIJNATH-BEED,16MT,43800,55400,666
01-01-2025,31-12-2025,USIL,SILVASSA,PARLIVAIJNATH-BEED,21MT,55400,61700,666
01-01-2025,31-12-2025,USIL,SILVASSA,MAHARSHI NAGAR-PUNE,09MT,19500,30000,330
01-01-2025,31-12-2025,USIL,SILVASSA,PARLIVAIJNATH-BEED,24MT,61700,77125,666
01-01-2025,31-12-2025,USIL,SILVASSA,MAHARSHI NAGAR-PUNE,16MT,30000,38000,330
01-01-2025,31-12-2025,USIL,SILVASSA,MAHARSHI NAGAR-PUNE,21MT,38000,43000,330
01-01-2025,31-12-2025,USIL,SILVASSA,MAHARSHI NAGAR-PUNE,24MT,43000,53750,330
01-01-2025,31-12-2025,DARN,AURANGABAD,PARNER-AHMEDNAGAR,03MT,6600,9600,150
01-01-2025,31-12-2025,DARN,AURANGABAD,PARNER-AHMEDNAGAR,05MT,9600,15341,150
01-01-2025,31-12-2025,DARN,AURANGABAD,PARNER-AHMEDNAGAR,09MT,16800,29848,150
01-01-2025,31-12-2025,DRAI,RAIPUR,MAHASAMUND-MAHASAMUND,03MT,4000,5100,101
01-01-2025,31-12-2025,USIL,SILVASSA,PARNER-AHMEDNAGAR,09MT,20500,30400,401
01-01-2025,31-12-2025,DRAI,RAIPUR,MAHASAMUND-MAHASAMUND,05MT,5100,8150,101
01-01-2025,31-12-2025,USIL,SILVASSA,PARNER-AHMEDNAGAR,16MT,30400,39700,401
01-01-2025,31-12-2025,DARN,AURANGABAD,MAHATMANAGAR-NASHIK,03MT,7200,11500,180
01-01-2025,31-12-2025,USIL,SILVASSA,PARNER-AHMEDNAGAR,21MT,39700,44100,401
01-01-2025,31-12-2025,DARN,AURANGABAD,MAHATMANAGAR-NASHIK,05MT,11500,18300,180
01-01-2025,31-12-2025,USIL,SILVASSA,PARNER-AHMEDNAGAR,24MT,44100,55125,401
01-01-2025,31-12-2025,DARN,AURANGABAD,MAHATMANAGAR-NASHIK,09MT,18300,32513,180
01-01-2025,31-12-2025,DAHM,AHMEDABAD,MAHEMDABAD-KHEDA,03MT,4600,5800,30
01-01-2025,31-12-2025,DARN,AURANGABAD,PAROLA-JALGAON,03MT,6600,9600,150
01-01-2025,31-12-2025,DAHM,AHMEDABAD,MAHEMDABAD-KHEDA,05MT,5800,9268,30
01-01-2025,31-12-2025,DARN,AURANGABAD,PAROLA-JALGAON,05MT,9600,15341,150
