FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,DARN,AURANGABAD,PATODA-BEED,09MT,18300,32513,190
01-01-2025,31-12-2025,UROO,ROORKEE,ROPAR-RUPNAGAR,20MT,14800,17500,225
01-01-2025,31-12-2025,UROO,ROORKEE,ROPAR-RUPNAGAR,24MT,17500,21875,225
01-01-2025,31-12-2025,USUR,SURAJPUR,MANDAWALI-MANDAWALI,03MT,6600,9900,191
01-01-2025,31-12-2025,USUR,SURAJPUR,MANDAWALI-MANDAWALI,05MT,9900,12000,191
01-01-2025,31-12-2025,UROO,ROORKEE,PAURI GARHWAL-PAURI GARHWAL,09MT,15600,21000,170
01-01-2025,31-12-2025,USUR,SURAJPUR,MANDAWALI-MANDAWALI,09MT,12000,15400,191
01-01-2025,31-12-2025,UROO,ROORKEE,PAURI GARHWAL-PAURI GARHWAL,15MT,21000,27986,170
01-01-2025,31-12-2025,USUR,SURAJPUR,MANDAWALI-MANDAWALI,15MT,15400,19000,191
01-01-2025,31-12-2025,DBNG,BANGALORE,PAVAGADA-TUMKUR,03MT,7400,9900,138
01-01-2025,31-12-2025,USUR,SURAJPUR,MANDAWALI-MANDAWALI,20MT,19000,22791,191
01-01-2025,31-12-2025,UHOW,HOWRAH,ROURKELA-SUNDERGARH,09MT,22800,27000,508
01-01-2025,31-12-2025,DBNG,BANGALORE,PAVAGADA-TUMKUR,05MT,9900,15820,138
01-01-2025,31-12-2025,UHOW,HOWRAH,ROURKELA-SUNDERGARH,16MT,27000,35421,508
01-01-2025,31-12-2025,DAHM,AHMEDABAD,PAVI JETPUR-CHHOTA UDEPUR,03MT,9800,11200,190
01-01-2025,31-12-2025,UHOW,HOWRAH,RUDRANAGAR-SOUTH 24 PARGANAS,03MT,7500,11200,130
01-01-2025,31-12-2025,DAHM,AHMEDABAD,PAVI JETPUR-CHHOTA UDEPUR,05MT,11200,17898,190
01-01-2025,31-12-2025,DBHI,BHIWANDI,MANDE-PALGHAR,03MT,6500,9400,47
01-01-2025,31-12-2025,UHOW,HOWRAH,RUDRANAGAR-SOUTH 24 PARGANAS,06MT,11200,14915,130
01-01-2025,31-12-2025,DJAB,JABALPUR,PAWAI-PANNA,03MT,5500,7500,106
01-01-2025,31-12-2025,DBHI,BHIWANDI,MANDE-PALGHAR,05MT,9400,15021,47
01-01-2025,31-12-2025,USIL,SILVASSA,RUI DHOKI-OSMANABAD,09MT,28500,42700,580
01-01-2025,31-12-2025,DJAB,JABALPUR,PAWAI-PANNA,05MT,7500,11985,106
01-01-2025,31-12-2025,DGWA,GWALIOR,MANDI BAMORA-SAGAR,03MT,7000,11000,326
01-01-2025,31-12-2025,USIL,SILVASSA,RUI DHOKI-OSMANABAD,16MT,42700,52500,580
01-01-2025,31-12-2025,USUR,SURAJPUR,PAYAGPUR-BAHRAICH,09MT,27800,41950,671
01-01-2025,31-12-2025,DGWA,GWALIOR,MANDI BAMORA-SAGAR,05MT,11000,17578,326
01-01-2025,31-12-2025,USIL,SILVASSA,RUI DHOKI-OSMANABAD,21MT,52500,58200,580
01-01-2025,31-12-2025,USUR,SURAJPUR,MANDI DHANAURA-AMROHA,03MT,6100,9200,124
01-01-2025,31-12-2025,USUR,SURAJPUR,PAYAGPUR-BAHRAICH,15MT,41950,49800,671
