FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,UUJJ,UJJAIN,MAKSI-SAJAPUR,03MT,4300,5300,55
01-01-2025,31-12-2025,UUJJ,UJJAIN,MAKSI-SAJAPUR,05MT,5300,8469,55
01-01-2025,31-12-2025,UUJJ,UJJAIN,SAILANA-RATLAM,03MT,6000,8200,156
01-01-2025,31-12-2025,UUJJ,UJJAIN,SAILANA-RATLAM,05MT,8200,13104,156
01-01-2025,31-12-2025,UUJJ,UJJAIN,SARANGPUR-RAJGARH,03MT,5700,7500,106
01-01-2025,31-12-2025,UUJJ,UJJAIN,SARANGPUR-RAJGARH,05MT,7500,11985,106
01-01-2025,31-12-2025,UUJJ,UJJAIN,SINGOLI-NEEMUCH,03MT,11400,12300,305
01-01-2025,31-12-2025,UUJJ,UJJAIN,SINGOLI-NEEMUCH,05MT,12300,19655,305
01-01-2025,31-12-2025,UUJJ,UJJAIN,TALEN-RAJGARH,03MT,6000,8200,134
01-01-2025,31-12-2025,UUJJ,UJJAIN,TALEN-RAJGARH,05MT,8200,13104,134
01-01-2025,31-12-2025,DPUR,GULAB BAGH,MAHESHKHUNT-KHAGARIA,03MT,5600,8200,144
01-01-2025,31-12-2025,DPUR,GULAB BAGH,MAHESHKHUNT-KHAGARIA,05MT,8200,11000,144
01-01-2025,31-12-2025,DPUR,GULAB BAGH,MAHESHKHUNT-KHAGARIA,09MT,11000,19543,144
01-01-2025,31-12-2025,UROO,ROORKEE,KASHIPUR-UDAM SINGH NAGAR,09MT,9000,10900,192
01-01-2025,31-12-2025,UROO,ROORKEE,KASHIPUR-UDAM SINGH NAGAR,15MT,10900,14526,192
01-01-2025,31-12-2025,UROO,ROORKEE,BANKI-BARA BANKI,09MT,28500,40500,739
01-01-2025,31-12-2025,UROO,ROORKEE,BANKI-BARA BANKI,15MT,40500,47000,739
01-01-2025,31-12-2025,UROO,ROORKEE,BANKI-BARA BANKI,20MT,47000,56376,739
01-01-2025,31-12-2025,UROO,ROORKEE,SHAHPUR-MUZAFFARNAGAR,09MT,6400,7600,81
01-01-2025,31-12-2025,UROO,ROORKEE,SHAHPUR-MUZAFFARNAGAR,15MT,7600,9900,81
01-01-2025,31-12-2025,UROO,ROORKEE,SHAHPUR-MUZAFFARNAGAR,20MT,9900,11875,81
01-01-2025,31-12-2025,DBNG,BANGALORE,KADUR-CHIKKAMAGALURU,01MT,6500,7300,190
01-01-2025,31-12-2025,DBNG,BANGALORE,SAGARA-SHIVAMOGGA,01MT,7800,10400,331
01-01-2025,31-12-2025,DBNG,BANGALORE,SAGARA-SHIVAMOGGA,03MT,10400,12500,331
01-01-2025,31-12-2025,DBNG,BANGALORE,SAGARA-SHIVAMOGGA,05MT,12500,19975,331
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,MUDALGI-BELAGAVI,03MT,6300,9500,115
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,MUDALGI-BELAGAVI,05MT,9500,12100,115
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,MUDALGI-BELAGAVI,09MT,12100,21498,115
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",AKHNOOR-JAMMU,03MT,3750,5900,109
01-01-2025,31-12-2025,"UKAT,TGOV","KATHUA,GOVINDSAR",B.D. BARI-SAMBA,03MT,3300,5100,71
