FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,DPAT,PATNA,RIGA-SITAMARHI,05MT,8800,11000,145
01-01-2025,31-12-2025,DPAT,PATNA,ROSERA-SAMASTIPUR,05MT,8500,10700,117
01-01-2025,31-12-2025,DPAT,PATNA,RUNNI SAIDPUR-SITAMARHI,05MT,9100,11300,147
01-01-2025,31-12-2025,DPAT,PATNA,RUPHARA-EAST CHAMPARAN,05MT,8400,10500,160
01-01-2025,31-12-2025,DPAT,PATNA,SAGAULI-KESHARIA,05MT,10700,13000,178
01-01-2025,31-12-2025,DPAT,PATNA,SAID NAGAR-DARBHANGA,05MT,8800,11000,141
01-01-2025,31-12-2025,DPAT,PATNA,SAKRI-MADHUBANI,05MT,9100,11300,155
01-01-2025,31-12-2025,DPAT,PATNA,SAMASTIPUR-SAMASTIPUR,05MT,7000,8400,84
01-01-2025,31-12-2025,DPAT,PATNA,SARAIYA-MUZAFFARPUR,05MT,5900,7000,70
01-01-2025,31-12-2025,DPAT,PATNA,SARFUDDINPUR-MUZAFFARPUR,05MT,6600,7900,75
01-01-2025,31-12-2025,DPAT,PATNA,SASARAM-ROHTAS,05MT,10500,13000,187
01-01-2025,31-12-2025,DPAT,PATNA,SEWAIPATTI-MUZAFFARPUR,05MT,7000,8400,98
01-01-2025,31-12-2025,DPAT,PATNA,SHAHPUR PATORY-SAMASTIPUR,05MT,5800,6700,60
01-01-2025,31-12-2025,DPAT,PATNA,SHEIKHPURA-MUNGER,05MT,8700,11000,118
01-01-2025,31-12-2025,DPAT,PATNA,SHEOHAR-SHEOHAR,05MT,9100,11300,163
01-01-2025,31-12-2025,DPAT,PATNA,SHITALPUR-SARAN,05MT,4900,5600,49
01-01-2025,31-12-2025,DPAT,PATNA,SHOKHARA-BAGUSARAI,05MT,8100,10200,118
01-01-2025,31-12-2025,DPAT,PATNA,SIDHAULI-DARBHANGA,05MT,8800,11000,153
01-01-2025,31-12-2025,DPAT,PATNA,SIKTA-WEST CHAMPARAN,05MT,13000,15800,220
01-01-2025,31-12-2025,DPAT,PATNA,SINGHIYA-SAMASTIPUR,05MT,8800,11000,135
01-01-2025,31-12-2025,DPAT,PATNA,SINGHIYA GHAT-SAMASTIPUR,05MT,9100,11300,128
01-01-2025,31-12-2025,DPAT,PATNA,SIRDALA-NAWADA,05MT,9100,11300,147
01-01-2025,31-12-2025,DPAT,PATNA,SITAMRHI-SITAMRHI,05MT,8900,10800,131
01-01-2025,31-12-2025,DPAT,PATNA,SONBARSA-SITAMARHI,05MT,9100,11300,160
01-01-2025,31-12-2025,DPAT,PATNA,SONPUR-CHAPRA,05MT,4400,5300,26
01-01-2025,31-12-2025,DPAT,PATNA,SRIPUR GAHAR-SAMASTIPUR,05MT,8100,10200,120
01-01-2025,31-12-2025,DPAT,PATNA,SURAJGARHA-LAKSHISARAI,05MT,8400,10500,146
01-01-2025,31-12-2025,DPAT,PATNA,SURSAND-SITAMARHI,05MT,9100,11300,153
01-01-2025,31-12-2025,DPAT,PATNA,TARA BIGHA-NALANDA,05MT,5900,7000,69
01-01-2025,31-12-2025,DPAT,PATNA,TEGHRA-BEGUSRAI,05MT,8400,10300,118
