FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,UUJJ,UJJAIN,WANI-YAVATMAL,09MT,33500,44500,660
01-01-2025,31-12-2025,UUJJ,UJJAIN,WANI-YAVATMAL,16MT,44500,50500,660
01-01-2025,31-12-2025,UUJJ,UJJAIN,WANI-YAVATMAL,21MT,50500,56500,660
01-01-2025,31-12-2025,UUJJ,UJJAIN,WANI-YAVATMAL,24MT,56500,70625,660
01-01-2025,31-12-2025,UUJJ,UJJAIN,WARDHA-WARDHA,09MT,32500,37500,560
01-01-2025,31-12-2025,UUJJ,UJJAIN,WARDHA-WARDHA,16MT,37500,42500,560
01-01-2025,31-12-2025,UUJJ,UJJAIN,WARDHA-WARDHA,21MT,42500,47500,560
01-01-2025,31-12-2025,UUJJ,UJJAIN,WARDHA-WARDHA,24MT,47500,59375,560
01-01-2025,31-12-2025,UUJJ,UJJAIN,WATHODA-NAGPUR,09MT,30500,35500,510
01-01-2025,31-12-2025,UUJJ,UJJAIN,WATHODA-NAGPUR,16MT,35500,40500,510
01-01-2025,31-12-2025,UUJJ,UJJAIN,WATHODA-NAGPUR,21MT,40500,45500,510
01-01-2025,31-12-2025,UUJJ,UJJAIN,WATHODA-NAGPUR,24MT,45500,56875,510
01-01-2025,31-12-2025,UUJJ,UJJAIN,YAVATMAL-YAVATMAL,09MT,32500,37500,590
01-01-2025,31-12-2025,UUJJ,UJJAIN,YAVATMAL-YAVATMAL,16MT,37500,43500,590
01-01-2025,31-12-2025,UUJJ,UJJAIN,YAVATMAL-YAVATMAL,21MT,43500,48500,590
01-01-2025,31-12-2025,UUJJ,UJJAIN,YAVATMAL-YAVATMAL,24MT,48500,60625,590
01-01-2025,31-12-2025,UUJJ,UJJAIN,AJAYGARH-PANNA,09MT,32000,37500,670
01-01-2025,31-12-2025,UUJJ,UJJAIN,AJAYGARH-PANNA,16MT,37500,41500,670
01-01-2025,31-12-2025,UUJJ,UJJAIN,AJAYGARH-PANNA,21MT,41500,45000,670
01-01-2025,31-12-2025,UUJJ,UJJAIN,AJAYGARH-PANNA,24MT,45000,56250,670
01-01-2025,31-12-2025,UUJJ,UJJAIN,ALOTE-RATLAM,03MT,5700,8000,95
01-01-2025,31-12-2025,UUJJ,UJJAIN,ALOTE-RATLAM,05MT,8000,9500,95
01-01-2025,31-12-2025,UUJJ,UJJAIN,ALOTE-RATLAM,09MT,9500,12500,95
01-01-2025,31-12-2025,UUJJ,UJJAIN,ALOTE-RATLAM,16MT,12500,14000,95
01-01-2025,31-12-2025,UUJJ,UJJAIN,ALOTE-RATLAM,21MT,14000,15500,95
01-01-2025,31-12-2025,UUJJ,UJJAIN,ALOTE-RATLAM,24MT,15500,19375,95
01-01-2025,31-12-2025,UUJJ,UJJAIN,AMANGANJ-PANNA,09MT,29000,35000,600
01-01-2025,31-12-2025,UUJJ,UJJAIN,AMANGANJ-PANNA,16MT,35000,38500,600
01-01-2025,31-12-2025,UUJJ,UJJAIN,AMANGANJ-PANNA,21MT,38500,43000,600
01-01-2025,31-12-2025,UUJJ,UJJAIN,AMANGANJ-PANNA,24MT,43000,53750,600
