FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,UUJJ,UJJAIN,UJJAIN-UJJAIN,21MT,8000,8700,10
01-01-2025,31-12-2025,UUJJ,UJJAIN,UJJAIN-UJJAIN,24MT,8700,10875,10
01-01-2025,31-12-2025,UUJJ,UJJAIN,UMARIA-UMARIA,09MT,32000,37500,640
01-01-2025,31-12-2025,UUJJ,UJJAIN,UMARIA-UMARIA,16MT,37500,41500,640
01-01-2025,31-12-2025,UUJJ,UJJAIN,UMARIA-UMARIA,21MT,41500,45000,640
01-01-2025,31-12-2025,UUJJ,UJJAIN,UMARIA-UMARIA,24MT,45000,56250,640
01-01-2025,31-12-2025,UUJJ,UJJAIN,VIDISHA-VIDISHA,09MT,15100,20500,250
01-01-2025,31-12-2025,UUJJ,UJJAIN,VIDISHA-VIDISHA,16MT,20500,24500,250
01-01-2025,31-12-2025,UUJJ,UJJAIN,VIDISHA-VIDISHA,21MT,24500,27000,250
01-01-2025,31-12-2025,UUJJ,UJJAIN,VIDISHA-VIDISHA,24MT,27000,33750,250
01-01-2025,31-12-2025,UUJJ,UJJAIN,VIJAYRAGHAVGARH-KATNI,09MT,29000,35000,580
01-01-2025,31-12-2025,UUJJ,UJJAIN,VIJAYRAGHAVGARH-KATNI,16MT,35000,38500,580
01-01-2025,31-12-2025,UUJJ,UJJAIN,VIJAYRAGHAVGARH-KATNI,21MT,38500,43000,580
01-01-2025,31-12-2025,UUJJ,UJJAIN,VIJAYRAGHAVGARH-KATNI,24MT,43000,53750,580
01-01-2025,31-12-2025,UUJJ,UJJAIN,WARASEONI-BALAGHAT,09MT,32000,37500,640
01-01-2025,31-12-2025,UUJJ,UJJAIN,WARASEONI-BALAGHAT,16MT,37500,41500,640
01-01-2025,31-12-2025,UUJJ,UJJAIN,WARASEONI-BALAGHAT,21MT,41500,45000,640
01-01-2025,31-12-2025,UUJJ,UJJAIN,WARASEONI-BALAGHAT,24MT,45000,56250,640
01-01-2025,31-12-2025,UUJJ,UJJAIN,AGARMALWA-AGARMALWA,03MT,5700,7500,110
01-01-2025,31-12-2025,UUJJ,UJJAIN,AGARMALWA-AGARMALWA,05MT,7500,11985,110
01-01-2025,31-12-2025,UUJJ,UJJAIN,AHMEDPUR-SEHORE,03MT,8000,9500,183
01-01-2025,31-12-2025,UUJJ,UJJAIN,AHMEDPUR-SEHORE,05MT,9500,15181,183
01-01-2025,31-12-2025,UUJJ,UJJAIN,BADNAWAR-DHAR,03MT,5000,6300,95
01-01-2025,31-12-2025,UUJJ,UJJAIN,BADNAWAR-DHAR,05MT,6300,10067,95
01-01-2025,31-12-2025,UUJJ,UJJAIN,DOUBLE CHOWKI-DEWAS,03MT,4300,5300,59
01-01-2025,31-12-2025,UUJJ,UJJAIN,DOUBLE CHOWKI-DEWAS,05MT,5300,8469,59
01-01-2025,31-12-2025,UUJJ,UJJAIN,GAUTAMPURA-INDORE,03MT,4300,5300,66
01-01-2025,31-12-2025,UUJJ,UJJAIN,GAUTAMPURA-INDORE,05MT,5300,8469,66
01-01-2025,31-12-2025,UUJJ,UJJAIN,KHILCHIPUR-RAJGARH,03MT,7200,9200,170
01-01-2025,31-12-2025,UUJJ,UJJAIN,KHILCHIPUR-RAJGARH,05MT,9200,14702,170
