FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,DARN,AURANGABAD,PAROLA-JALGAON,09MT,16800,29848,150
01-01-2025,31-12-2025,USIL,SILVASSA,PAROLA-JALGAON,09MT,19200,29900,328
01-01-2025,31-12-2025,DBHI,BHIWANDI,MAHIM-MUMBAI,03MT,6300,9350,42
01-01-2025,31-12-2025,DBHI,BHIWANDI,MAHIM-MUMBAI,05MT,9350,14941,42
01-01-2025,31-12-2025,USIL,SILVASSA,PAROLA-JALGAON,16MT,29900,36800,328
01-01-2025,31-12-2025,USIL,SILVASSA,PAROLA-JALGAON,21MT,36800,41700,328
01-01-2025,31-12-2025,USIL,SILVASSA,PAROLA-JALGAON,24MT,41700,52125,328
01-01-2025,31-12-2025,USUR,SURAJPUR,MAHOBA-MAHOBA,09MT,26900,40900,572
01-01-2025,31-12-2025,DDHA,DHANBAD,PARSABAD-KODERMA,03MT,4200,6900,117
01-01-2025,31-12-2025,USUR,SURAJPUR,MAHOBA-MAHOBA,15MT,40900,48900,572
01-01-2025,31-12-2025,DDHA,DHANBAD,PARSABAD-KODERMA,05MT,6900,11026,117
01-01-2025,31-12-2025,USUR,SURAJPUR,MAHOBA-MAHOBA,20MT,48900,54000,572
01-01-2025,31-12-2025,DARN,AURANGABAD,PARTUR-PARBHANI,03MT,6500,9300,134
01-01-2025,31-12-2025,USUR,SURAJPUR,MAHOBA-MAHOBA,24MT,54000,67500,572
01-01-2025,31-12-2025,DARN,AURANGABAD,PARTUR-PARBHANI,05MT,9300,14861,134
01-01-2025,31-12-2025,DARN,AURANGABAD,PARTUR-PARBHANI,09MT,16300,28960,134
01-01-2025,31-12-2025,DARN,AURANGABAD,"PARTUR,PARTUR-JALNA",03MT,6500,9300,134
01-01-2025,31-12-2025,USUR,SURAJPUR,MAHRAJGANJ-GHAZIPUR,09MT,30800,45250,848
01-01-2025,31-12-2025,DARN,AURANGABAD,"PARTUR,PARTUR-JALNA",05MT,9300,14861,134
01-01-2025,31-12-2025,USUR,SURAJPUR,MAHRAJGANJ-GHAZIPUR,15MT,45250,52100,848
01-01-2025,31-12-2025,DARN,AURANGABAD,"PARTUR,PARTUR-JALNA",09MT,16300,28960,134
01-01-2025,31-12-2025,DVIJ,VIJAYAWADA,PARVATHIPURAM-VIZIANAGARAM,01MT,6900,20631,538
01-01-2025,31-12-2025,USUR,SURAJPUR,MAHRAJGANJ-GHAZIPUR,20MT,52100,60000,848
01-01-2025,31-12-2025,DPAR,KALA AMB,PARWANOO-SOLAN,03MT,6000,6900,93
01-01-2025,31-12-2025,USUR,SURAJPUR,MAHRAJGANJ-GHAZIPUR,24MT,60000,75000,848
01-01-2025,31-12-2025,DPAR,KALA AMB,PARWANOO-SOLAN,05MT,6900,11026,93
01-01-2025,31-12-2025,UGUW,GUWAHATI,PASIGHAT-East Siang,09MT,30000,43000,555
01-01-2025,31-12-2025,UGUW,GUWAHATI,PASIGHAT-East Siang,15MT,43000,55000,555
01-01-2025,31-12-2025,UGUW,GUWAHATI,PASIGHAT-East Siang,21MT,55000,57000,555
01-01-2025,31-12-2025,UGUW,GUWAHATI,PASIGHAT-East Siang,24MT,57000,71250,555
