FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,DPAT,PATNA,BENIPUR-DARBHANGA,09MT,11000,14600,164
01-01-2025,31-12-2025,DPAT,PATNA,BETAUNA-MADHUBANI,09MT,10500,13500,149
01-01-2025,31-12-2025,DPAT,PATNA,BETTIAH-WEST CHAMPARAN,09MT,14000,17800,201
01-01-2025,31-12-2025,DPAT,PATNA,BHABUA-KAIMUR,09MT,13500,16500,200
01-01-2025,31-12-2025,DPAT,PATNA,BHARWARA-DARBHANGA,09MT,11100,14000,122
01-01-2025,31-12-2025,DPAT,PATNA,BHATHNA-SARAN,09MT,7600,10300,70
01-01-2025,31-12-2025,DPAT,PATNA,BHUTAHI-SITAMARHI,09MT,11000,14200,147
01-01-2025,31-12-2025,DPAT,PATNA,BIDUPUR-VAISHALI,09MT,5100,7500,21
01-01-2025,31-12-2025,DPAT,PATNA,BIHAR SHARIF-NALANDA,09MT,7600,10300,77
01-01-2025,31-12-2025,DPAT,PATNA,BIHAT-BEGUSARAI,09MT,10700,13400,112
01-01-2025,31-12-2025,DPAT,PATNA,BIHTA-PATNA,09MT,6000,8200,38
01-01-2025,31-12-2025,DPAT,PATNA,BIKRAMGANJ-ROHTAS,09MT,11100,14000,122
01-01-2025,31-12-2025,DPAT,PATNA,BISFI-MADHUBANI,09MT,11300,14200,155
01-01-2025,31-12-2025,DPAT,PATNA,CHABDWARA-MUZAFFARPUR,09MT,7300,9800,75
01-01-2025,31-12-2025,DPAT,PATNA,CHAKAI-JAMUI,09MT,16200,20000,236
01-01-2025,31-12-2025,DPAT,PATNA,CHAKAND-GAYA,09MT,8400,11200,90
01-01-2025,31-12-2025,DPAT,PATNA,CHAPRA-SARAN,09MT,7900,10300,78
01-01-2025,31-12-2025,DPAT,PATNA,DALSING SARAI-SAMASTIPUR,09MT,8200,11200,97
01-01-2025,31-12-2025,DPAT,PATNA,DANAPUR-PATNA,09MT,4900,6900,20
01-01-2025,31-12-2025,DPAT,PATNA,DARBHANGA-DARBHANGA,09MT,10800,14000,132
01-01-2025,31-12-2025,DPAT,PATNA,DASAUT-SAMASTIPUR,09MT,11300,14500,138
01-01-2025,31-12-2025,DPAT,PATNA,DAUDNAGAR-AURANGABAD,09MT,11000,13800,111
01-01-2025,31-12-2025,DPAT,PATNA,DAUDPUR CHAPRA-MUZAFFARPUR,09MT,8400,11200,98
01-01-2025,31-12-2025,DPAT,PATNA,DHAKA-EAST CHAMPARAN,09MT,12500,15800,159
01-01-2025,31-12-2025,DPAT,PATNA,DIGHWARA-CHAPRA,09MT,5600,7600,40
01-01-2025,31-12-2025,DPAT,PATNA,DOSTIYA-SHEOHAR,09MT,12000,15600,173
01-01-2025,31-12-2025,DPAT,PATNA,DOSTNAGAR-PATNA,09MT,4900,6900,20
01-01-2025,31-12-2025,DPAT,PATNA,DUMARICHATTI-GAYA,09MT,11300,14600,140
01-01-2025,31-12-2025,DPAT,PATNA,DUMARSAN-SARAN,09MT,7600,10400,71
01-01-2025,31-12-2025,DPAT,PATNA,GARKHA-SARAN,09MT,7800,10400,86
