FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,DJAB,JABALPUR,AJAYGARH-PANNA,03MT,7500,12000,252
01-01-2025,31-12-2025,DJAB,JABALPUR,AJAYGARH-PANNA,05MT,12000,19176,252
01-01-2025,31-12-2025,DRAI,RAIPUR,SARSIWA-BALODABAZAR BHATAPARA,03MT,5850,8750,213
01-01-2025,31-12-2025,DRAI,RAIPUR,SARSIWA-BALODABAZAR BHATAPARA,05MT,8750,13983,213
01-01-2025,31-12-2025,USIL,SILVASSA,ZODGE-NASHIK,09MT,18700,27500,263
01-01-2025,31-12-2025,USIL,SILVASSA,ZODGE-NASHIK,16MT,27500,35200,263
01-01-2025,31-12-2025,USIL,SILVASSA,ZODGE-NASHIK,21MT,35200,38500,263
01-01-2025,31-12-2025,USIL,SILVASSA,ZODGE-NASHIK,24MT,38500,48125,263
01-01-2025,31-12-2025,DARN,AURANGABAD,GALLEBORGAON-CHHATRAPATI SAMBHAJINAGAR,03MT,4000,6000,35
01-01-2025,31-12-2025,DARN,AURANGABAD,GALLEBORGAON-CHHATRAPATI SAMBHAJINAGAR,05MT,6000,9588,35
01-01-2025,31-12-2025,DARN,AURANGABAD,GALLEBORGAON-CHHATRAPATI SAMBHAJINAGAR,09MT,9800,17411,35
01-01-2025,31-12-2025,UHOW,HOWRAH,HANWARA-GODDA,09MT,20900,22500,372
01-01-2025,31-12-2025,UHOW,HOWRAH,HANWARA-GODDA,16MT,22500,29300,372
01-01-2025,31-12-2025,UHOW,HOWRAH,HANWARA-GODDA,21MT,29300,32500,372
01-01-2025,31-12-2025,UHOW,HOWRAH,HANWARA-GODDA,25MT,32500,39000,372
01-01-2025,31-12-2025,DBHA,BHATINDA,SHAMAKHANKA-FAZILKA,03MT,4100,6500,113
01-01-2025,31-12-2025,DBHA,BHATINDA,SHAMAKHANKA-FAZILKA,05MT,6500,10387,113
01-01-2025,31-12-2025,DHYD,HYDERABAD,VIKARABAD-VIKARABAD,03MT,4800,7500,113
01-01-2025,31-12-2025,DHYD,HYDERABAD,VIKARABAD-VIKARABAD,05MT,7500,11985,113
01-01-2025,31-12-2025,DHYD,HYDERABAD,BELLAMPALLI-MANCHERIAL,03MT,7600,11200,274
01-01-2025,31-12-2025,DHYD,HYDERABAD,BELLAMPALLI-MANCHERIAL,05MT,11200,17898,274
01-01-2025,31-12-2025,DPAR,KALA AMB,LEONGARI BRAHMNA-BILASPUR,03MT,10400,13300,198
01-01-2025,31-12-2025,DPAR,KALA AMB,LEONGARI BRAHMNA-BILASPUR,05MT,13300,21253,198
01-01-2025,31-12-2025,UROO,ROORKEE,GANDEWAD-SAHARANPUR,03MT,3300,4250,50
01-01-2025,31-12-2025,UROO,ROORKEE,GANDEWAD-SAHARANPUR,05MT,4250,4700,50
01-01-2025,31-12-2025,UROO,ROORKEE,GANDEWAD-SAHARANPUR,09MT,4700,5600,50
01-01-2025,31-12-2025,UROO,ROORKEE,GANDEWAD-SAHARANPUR,15MT,5600,7100,50
01-01-2025,31-12-2025,UROO,ROORKEE,GANDEWAD-SAHARANPUR,20MT,7100,8516,50
01-01-2025,31-12-2025,UROO,ROORKEE,TANDA-RAMPUR,03MT,7000,10000,286
01-01-2025,31-12-2025,UROO,ROORKEE,TANDA-RAMPUR,05MT,10000,12000,286
