FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,SHAHABAD-KALABURAGI,09MT,14250,25318,150
01-01-2025,31-12-2025,DBHI,BHIWANDI,SHAHAPUR-THANE,03MT,6450,9100,58
01-01-2025,31-12-2025,DBHI,BHIWANDI,SHAHAPUR-THANE,05MT,9100,14542,58
01-01-2025,31-12-2025,DUDA,UDAIPUR,RAJNAGAR-RAJSAMAND,03MT,5000,7500,66
01-01-2025,31-12-2025,DROO,YAMUNA NAGAR,TARAORI-KARNAL,03MT,3450,5200,71
01-01-2025,31-12-2025,DUDA,UDAIPUR,RAJNAGAR-RAJSAMAND,05MT,7500,11985,66
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,SHAHAPUR-YADGIR,03MT,6750,10500,170
01-01-2025,31-12-2025,DROO,YAMUNA NAGAR,TARAORI-KARNAL,05MT,5200,8310,71
01-01-2025,31-12-2025,DBNG,BANGALORE,TARIKERE-CHIKKEMANGLURU,03MT,8100,11900,218
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,SHAHAPUR-YADGIR,05MT,10500,13500,170
01-01-2025,31-12-2025,DRAI,RAIPUR,RAJNANDGAON-RAJNANDGAON,03MT,3900,5000,77
01-01-2025,31-12-2025,DBNG,BANGALORE,TARIKERE-CHIKKEMANGLURU,05MT,11900,19016,218
01-01-2025,31-12-2025,DRAI,RAIPUR,RAJNANDGAON-RAJNANDGAON,05MT,5000,7990,77
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,SHAHAPUR-YADGIR,09MT,13500,23985,170
01-01-2025,31-12-2025,DRAI,RAIPUR,TATIBANDH-RAIPUR,03MT,1600,2200,12
01-01-2025,31-12-2025,THAR,OKHLA,SHAHDARA-NORTH EAST DELHI,03MT,2800,3400,24
01-01-2025,31-12-2025,DRAI,RAIPUR,TATIBANDH-RAIPUR,05MT,2200,3516,12
01-01-2025,31-12-2025,THAR,OKHLA,SHAHDARA-NORTH EAST DELHI,05MT,3400,4200,24
01-01-2025,31-12-2025,THAR,OKHLA,SHAHDARA-NORTH EAST DELHI,09MT,4200,6500,24
01-01-2025,31-12-2025,UROO,ROORKEE,TATIRI-BAGHPAT,03MT,5100,5750,163
01-01-2025,31-12-2025,THAR,OKHLA,SHAHDARA-NORTH EAST DELHI,15MT,6500,8662,24
01-01-2025,31-12-2025,UROO,ROORKEE,TATIRI-BAGHPAT,05MT,5750,7600,163
01-01-2025,31-12-2025,USUR,SURAJPUR,SHAHDARA-NORTH EAST DELHI,09MT,5500,8900,37
01-01-2025,31-12-2025,UROO,ROORKEE,TATIRI-BAGHPAT,09MT,7600,10100,163
01-01-2025,31-12-2025,USUR,SURAJPUR,SHAHDARA-NORTH EAST DELHI,15MT,8900,11861,37
01-01-2025,31-12-2025,UROO,ROORKEE,TATIRI-BAGHPAT,15MT,10100,12900,163
01-01-2025,31-12-2025,UROO,ROORKEE,TATIRI-BAGHPAT,20MT,12900,15474,163
01-01-2025,31-12-2025,USUR,SURAJPUR,TATIRI-BAGHPAT,03MT,5200,7600,81
01-01-2025,31-12-2025,USUR,SURAJPUR,TATIRI-BAGHPAT,05MT,7600,12145,81
01-01-2025,31-12-2025,UKAT,KATHUA,RAJOURI-RAJOURI,09MT,19200,31500,269
