FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,UROO,ROORKEE,SIRHIND-FATEHGARH SAHIB,09MT,7700,10300,174
01-01-2025,31-12-2025,UROO,ROORKEE,SIRHIND-FATEHGARH SAHIB,15MT,10300,13300,174
01-01-2025,31-12-2025,UROO,ROORKEE,SIRHIND-FATEHGARH SAHIB,20MT,13300,15700,174
01-01-2025,31-12-2025,UROO,ROORKEE,SIRHIND-FATEHGARH SAHIB,24MT,15700,19625,174
01-01-2025,31-12-2025,UUJJ,UJJAIN,KHATEGAON-DEWAS,09MT,13100,17100,160
01-01-2025,31-12-2025,UUJJ,UJJAIN,KHATEGAON-DEWAS,16MT,17100,19500,160
01-01-2025,31-12-2025,UUJJ,UJJAIN,KHATEGAON-DEWAS,21MT,19500,21800,160
01-01-2025,31-12-2025,UUJJ,UJJAIN,KHATEGAON-DEWAS,24MT,21800,27250,160
01-01-2025,31-12-2025,UUJJ,UJJAIN,SATNA-SATNA,09MT,32000,37500,640
01-01-2025,31-12-2025,UUJJ,UJJAIN,SATNA-SATNA,16MT,37500,41500,640
01-01-2025,31-12-2025,UUJJ,UJJAIN,SATNA-SATNA,21MT,41500,45000,640
01-01-2025,31-12-2025,UUJJ,UJJAIN,SATNA-SATNA,24MT,45000,56250,640
01-01-2025,31-12-2025,UUJJ,UJJAIN,NANDED-NANDED,09MT,32500,37500,591
01-01-2025,31-12-2025,UUJJ,UJJAIN,NANDED-NANDED,16MT,37500,43000,591
01-01-2025,31-12-2025,UUJJ,UJJAIN,NANDED-NANDED,21MT,43000,48000,591
01-01-2025,31-12-2025,UUJJ,UJJAIN,NANDED-NANDED,24MT,48000,60000,591
01-01-2025,31-12-2025,UUJJ,UJJAIN,PARATWADA-AMRAVATI,09MT,24000,29600,410
01-01-2025,31-12-2025,UUJJ,UJJAIN,PARATWADA-AMRAVATI,16MT,29600,34300,410
01-01-2025,31-12-2025,UUJJ,UJJAIN,PARATWADA-AMRAVATI,21MT,34300,38000,410
01-01-2025,31-12-2025,UUJJ,UJJAIN,PARATWADA-AMRAVATI,24MT,38000,47500,410
01-01-2025,31-12-2025,UGUW,GUWAHATI,BELONIA-SOUTH TRIPURA,09MT,55000,67600,680
01-01-2025,31-12-2025,UGUW,GUWAHATI,BELONIA-SOUTH TRIPURA,15MT,67600,83000,680
01-01-2025,31-12-2025,UGUW,GUWAHATI,BELONIA-SOUTH TRIPURA,21MT,83000,92000,680
01-01-2025,31-12-2025,UGUW,GUWAHATI,BELONIA-SOUTH TRIPURA,24MT,92000,115000,680
01-01-2025,31-12-2025,DBNG,BANGALORE,PAVAGADA-TUMAKURU,01MT,6300,7400,140
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,MANVI-RAICHUR,01MT,6500,19435,237
01-01-2025,31-12-2025,DAHM,AHMEDABAD,LAKHANI-BANAS KANTHA,03MT,10800,12900,230
01-01-2025,31-12-2025,DAHM,AHMEDABAD,LAKHANI-BANAS KANTHA,05MT,12900,20614,230
01-01-2025,31-12-2025,DARN,AURANGABAD,ARNI-YAVATMAL,03MT,8800,13300,337
01-01-2025,31-12-2025,DARN,AURANGABAD,ARNI-YAVATMAL,05MT,13300,21253,337
