FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,USIL,SILVASSA,SONPETH-PARBHANI,09MT,31200,43800,665
01-01-2025,31-12-2025,USIL,SILVASSA,MURTIZAPUR-AKOLA,16MT,43800,52000,609
01-01-2025,31-12-2025,USIL,SILVASSA,SONPETH-PARBHANI,16MT,43800,55400,665
01-01-2025,31-12-2025,USIL,SILVASSA,MURTIZAPUR-AKOLA,21MT,52000,57900,609
01-01-2025,31-12-2025,USIL,SILVASSA,SONPETH-PARBHANI,21MT,55400,61700,665
01-01-2025,31-12-2025,USIL,SILVASSA,MURTIZAPUR-AKOLA,24MT,57900,72375,609
01-01-2025,31-12-2025,USIL,SILVASSA,SONPETH-PARBHANI,24MT,61700,77125,665
01-01-2025,31-12-2025,USIL,SILVASSA,WAJEGAON-NANDED,09MT,28300,43800,603
01-01-2025,31-12-2025,USIL,SILVASSA,WAJEGAON-NANDED,16MT,43800,52800,603
01-01-2025,31-12-2025,USIL,SILVASSA,WAJEGAON-NANDED,21MT,52800,59800,603
01-01-2025,31-12-2025,DARN,AURANGABAD,MURUM-OSMANABAD,03MT,9200,13800,341
01-01-2025,31-12-2025,DARN,AURANGABAD,MURUM-OSMANABAD,05MT,13800,22052,341
01-01-2025,31-12-2025,USIL,SILVASSA,WAJEGAON-NANDED,24MT,59800,74750,603
01-01-2025,31-12-2025,DARN,AURANGABAD,MURUM-OSMANABAD,09MT,24200,42995,341
01-01-2025,31-12-2025,USIL,SILVASSA,WAJGAON-NANDED,09MT,28300,43800,603
01-01-2025,31-12-2025,USIL,SILVASSA,WAJGAON-NANDED,16MT,43800,52800,603
01-01-2025,31-12-2025,USIL,SILVASSA,MURUM-OSMANABAD,09MT,31600,45500,643
01-01-2025,31-12-2025,USIL,SILVASSA,MURUM-OSMANABAD,16MT,45500,54700,643
01-01-2025,31-12-2025,USIL,SILVASSA,WAJGAON-NANDED,21MT,52800,59800,603
01-01-2025,31-12-2025,USIL,SILVASSA,MURUM-OSMANABAD,21MT,54700,61700,643
01-01-2025,31-12-2025,USIL,SILVASSA,WAJGAON-NANDED,24MT,59800,74750,603
01-01-2025,31-12-2025,UKAT,KATHUA,SOPORE-SOPORE,09MT,28500,44500,400
01-01-2025,31-12-2025,DBHI,BHIWANDI,WALWA-SANGLI,03MT,11400,15600,363
01-01-2025,31-12-2025,TGOV,GOVINDSAR,SOPORE-SOPORE,09MT,28500,44500,400
01-01-2025,31-12-2025,USIL,SILVASSA,MURUM-OSMANABAD,24MT,61700,77125,643
01-01-2025,31-12-2025,DBHI,BHIWANDI,WALWA-SANGLI,05MT,15600,24929,363
01-01-2025,31-12-2025,USIL,SILVASSA,WANI-YAVATMAL,09MT,39500,51300,936
01-01-2025,31-12-2025,USIL,SILVASSA,WANI-YAVATMAL,16MT,51300,66600,936
01-01-2025,31-12-2025,USIL,SILVASSA,WANI-YAVATMAL,21MT,66600,74800,936
01-01-2025,31-12-2025,USIL,SILVASSA,WANI-YAVATMAL,24MT,74800,93500,936
