FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANORA-WASHIM,09MT,28500,33500,480
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANORA-WASHIM,16MT,33500,38500,480
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANORA-WASHIM,21MT,38500,43500,480
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANORA-WASHIM,24MT,43500,54375,480
01-01-2025,31-12-2025,UUJJ,UJJAIN,MUL-CHANDRAPUR,09MT,38000,44500,690
01-01-2025,31-12-2025,UUJJ,UJJAIN,MUL-CHANDRAPUR,16MT,44500,50500,690
01-01-2025,31-12-2025,UUJJ,UJJAIN,MUL-CHANDRAPUR,21MT,50500,56500,690
01-01-2025,31-12-2025,UUJJ,UJJAIN,MUL-CHANDRAPUR,24MT,56500,70625,690
01-01-2025,31-12-2025,UUJJ,UJJAIN,MURTIZAPUR-AKOLA,09MT,26500,31500,380
01-01-2025,31-12-2025,UUJJ,UJJAIN,MURTIZAPUR-AKOLA,16MT,31500,36500,380
01-01-2025,31-12-2025,UUJJ,UJJAIN,MURTIZAPUR-AKOLA,21MT,36500,40500,380
01-01-2025,31-12-2025,UUJJ,UJJAIN,MURTIZAPUR-AKOLA,24MT,40500,50625,380
01-01-2025,31-12-2025,UUJJ,UJJAIN,NAGBHIR-CHANDRAPUR,09MT,33500,38500,611
01-01-2025,31-12-2025,UUJJ,UJJAIN,NAGBHIR-CHANDRAPUR,16MT,38500,43500,611
01-01-2025,31-12-2025,UUJJ,UJJAIN,NAGBHIR-CHANDRAPUR,21MT,43500,48500,611
01-01-2025,31-12-2025,UUJJ,UJJAIN,NAGBHIR-CHANDRAPUR,24MT,48500,60625,611
01-01-2025,31-12-2025,UUJJ,UJJAIN,NAGPUR-NAGPUR,09MT,32500,36000,565
01-01-2025,31-12-2025,UUJJ,UJJAIN,NAGPUR-NAGPUR,16MT,36000,43000,565
01-01-2025,31-12-2025,UUJJ,UJJAIN,NAGPUR-NAGPUR,21MT,43000,46000,565
01-01-2025,31-12-2025,UUJJ,UJJAIN,NAGPUR-NAGPUR,24MT,46000,57500,565
01-01-2025,31-12-2025,UUJJ,UJJAIN,NARKHED-NAGPUR,09MT,28500,33500,460
01-01-2025,31-12-2025,UUJJ,UJJAIN,NARKHED-NAGPUR,16MT,33500,38500,460
01-01-2025,31-12-2025,UUJJ,UJJAIN,NARKHED-NAGPUR,21MT,38500,43500,460
01-01-2025,31-12-2025,UUJJ,UJJAIN,NARKHED-NAGPUR,24MT,43500,54375,460
01-01-2025,31-12-2025,UUJJ,UJJAIN,NER-YAVATMAL,09MT,28500,33500,470
01-01-2025,31-12-2025,UUJJ,UJJAIN,NER-YAVATMAL,16MT,33500,38500,470
01-01-2025,31-12-2025,UUJJ,UJJAIN,NER-YAVATMAL,21MT,38500,43500,470
01-01-2025,31-12-2025,UUJJ,UJJAIN,NER-YAVATMAL,24MT,43500,54375,470
01-01-2025,31-12-2025,UUJJ,UJJAIN,POTEGAON-GADCHIROLI,09MT,39000,47500,730
01-01-2025,31-12-2025,UUJJ,UJJAIN,POTEGAON-GADCHIROLI,16MT,47500,53500,730
