FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANASA-NEEMUCH,03MT,10000,11200,210
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANASA-NEEMUCH,05MT,11200,14100,210
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANASA-NEEMUCH,09MT,14100,18500,210
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANASA-NEEMUCH,16MT,18500,22500,210
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANASA-NEEMUCH,21MT,22500,25000,210
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANASA-NEEMUCH,24MT,25000,31250,210
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANAWAR-DHAR,03MT,8100,10000,180
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANAWAR-DHAR,05MT,10000,13100,180
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANAWAR-DHAR,09MT,13100,17100,180
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANAWAR-DHAR,16MT,17100,19500,180
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANAWAR-DHAR,21MT,19500,21800,180
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANAWAR-DHAR,24MT,21800,27250,180
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDI BAMORA-SAGAR,09MT,17000,22000,330
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDI BAMORA-SAGAR,16MT,22000,26500,330
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDI BAMORA-SAGAR,21MT,26500,29500,330
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDI BAMORA-SAGAR,24MT,29500,36875,330
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDLA-MANDLA,09MT,29000,35000,580
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDLA-MANDLA,16MT,35000,38500,580
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDLA-MANDLA,21MT,38500,43000,580
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDLA-MANDLA,24MT,43000,53750,580
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDSAUR-MANDSAUR,03MT,7200,9200,160
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDSAUR-MANDSAUR,05MT,9200,13100,160
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDSAUR-MANDSAUR,09MT,13100,17100,160
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDSAUR-MANDSAUR,16MT,17100,19500,160
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDSAUR-MANDSAUR,21MT,19500,21800,160
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDSAUR-MANDSAUR,24MT,21800,27250,160
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANPUR-UMARIA,09MT,32000,37500,690
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANPUR-UMARIA,16MT,37500,41500,690
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANPUR-UMARIA,21MT,41500,45000,690
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANPUR-UMARIA,24MT,45000,56250,690
