FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,TKNP,KANPUR,SITAPUR-SITAPUR,24MT,27300,34125,190
01-01-2025,31-12-2025,USUR,SURAJPUR,SITAPUR-SITAPUR,09MT,27400,40600,582
01-01-2025,31-12-2025,UROO,ROORKEE,VIKASNAGAR-DEHRADUN,03MT,4500,5200,90
01-01-2025,31-12-2025,UROO,ROORKEE,MULLAN PUR-LUDHIANA,09MT,8500,13100,251
01-01-2025,31-12-2025,USUR,SURAJPUR,SITAPUR-SITAPUR,15MT,40600,48500,582
01-01-2025,31-12-2025,UROO,ROORKEE,VIKASNAGAR-DEHRADUN,05MT,5200,6800,90
01-01-2025,31-12-2025,UROO,ROORKEE,MULLAN PUR-LUDHIANA,15MT,13100,17100,251
01-01-2025,31-12-2025,USUR,SURAJPUR,SITAPUR-SITAPUR,20MT,48500,54000,582
01-01-2025,31-12-2025,UROO,ROORKEE,VIKASNAGAR-DEHRADUN,09MT,6800,9300,90
01-01-2025,31-12-2025,UROO,ROORKEE,MULLAN PUR-LUDHIANA,20MT,17100,20200,251
01-01-2025,31-12-2025,UROO,ROORKEE,VIKASNAGAR-DEHRADUN,15MT,9300,12394,90
01-01-2025,31-12-2025,USUR,SURAJPUR,SITAPUR-SITAPUR,24MT,54000,67500,582
01-01-2025,31-12-2025,UROO,ROORKEE,MULLAN PUR-LUDHIANA,24MT,20200,25250,251
01-01-2025,31-12-2025,DJAI,JAIPUR,VILLAGE SARWADI-SIKAR,03MT,7550,11450,145
01-01-2025,31-12-2025,DJAI,JAIPUR,VILLAGE SARWADI-SIKAR,05MT,11450,18297,145
01-01-2025,31-12-2025,DRAI,RAIPUR,VISHRAMPUR-SURAJPUR,03MT,6500,10200,375
01-01-2025,31-12-2025,UROO,ROORKEE,MULLAN PUR-LUDHIANA,25MT,20200,24240,251
01-01-2025,31-12-2025,DRAI,RAIPUR,VISHRAMPUR-SURAJPUR,05MT,10200,16300,375
01-01-2025,31-12-2025,DRAI,RAIPUR,SITAPUR-SURGUJA,03MT,7600,12600,390
01-01-2025,31-12-2025,DRAI,RAIPUR,SITAPUR-SURGUJA,05MT,12600,20135,390
01-01-2025,31-12-2025,USUR,SURAJPUR,SIYANA-BULLANDSHAHAR,03MT,5200,7600,79
01-01-2025,31-12-2025,USUR,SURAJPUR,SIYANA-BULLANDSHAHAR,05MT,7600,9500,79
01-01-2025,31-12-2025,USUR,SURAJPUR,SIYANA-BULLANDSHAHAR,09MT,9500,11950,79
01-01-2025,31-12-2025,USUR,SURAJPUR,SIYANA-BULLANDSHAHAR,15MT,11950,15000,79
01-01-2025,31-12-2025,USUR,SURAJPUR,SIYANA-BULLANDSHAHAR,20MT,15000,17993,79
01-01-2025,31-12-2025,USUR,SURAJPUR,"SIYANA,SIYANA-BULANDSHAHR",03MT,5200,7600,79
01-01-2025,31-12-2025,DBHI,BHIWANDI,MUMBRA SHILLPHATA-THANE,03MT,5300,7850,21
01-01-2025,31-12-2025,THAR,OKHLA,VISHWAS NAGAR-DELHI,03MT,2800,3400,24
01-01-2025,31-12-2025,USUR,SURAJPUR,"SIYANA,SIYANA-BULANDSHAHR",05MT,7600,9500,79
01-01-2025,31-12-2025,DBHI,BHIWANDI,MUMBRA SHILLPHATA-THANE,05MT,7850,12544,21
