FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,DHYD,HYDERABAD,PITLAM-KAMAREDDY,03MT,5500,8500,185
01-01-2025,31-12-2025,DHYD,HYDERABAD,PITLAM-KAMAREDDY,05MT,8500,13583,185
01-01-2025,31-12-2025,DHYD,HYDERABAD,ARMOOR-NIZAMABAD,03MT,5500,8500,192
01-01-2025,31-12-2025,DHYD,HYDERABAD,ARMOOR-NIZAMABAD,05MT,8500,13583,192
01-01-2025,31-12-2025,DARN,AURANGABAD,SHIRALA-SANGLI,03MT,11700,17000,430
01-01-2025,31-12-2025,DARN,AURANGABAD,SHIRALA-SANGLI,05MT,17000,27100,430
01-01-2025,31-12-2025,DARN,AURANGABAD,SHIRALA-SANGLI,09MT,27100,48148,430
01-01-2025,31-12-2025,DCUT,CUTTACK,THAKURGARH-ANGUL,03MT,5000,6950,190
01-01-2025,31-12-2025,DCUT,CUTTACK,THAKURGARH-ANGUL,05MT,6950,11106,190
01-01-2025,31-12-2025,DIND,INDORE,KHIRKIYA-HARDA,03MT,6200,10200,220
01-01-2025,31-12-2025,DIND,INDORE,KHIRKIYA-HARDA,05MT,10200,16300,220
01-01-2025,31-12-2025,DJAB,JABALPUR,KURAI-SEONI,03MT,6700,10600,224
01-01-2025,31-12-2025,DJAB,JABALPUR,KURAI-SEONI,05MT,10600,16939,224
01-01-2025,31-12-2025,DROO,YAMUNANAGAR,BARWALA-PANCHKULA,03MT,4200,6300,86
01-01-2025,31-12-2025,DROO,YAMUNANAGAR,BARWALA-PANCHKULA,05MT,6300,10067,86
01-01-2025,31-12-2025,DZIR,ZIRAKPUR,JALLANDHAR CANTT-JALLANDHAR,03MT,6000,7200,154
01-01-2025,31-12-2025,DZIR,ZIRAKPUR,JALLANDHAR CANTT-JALLANDHAR,05MT,7200,11506,154
01-01-2025,31-12-2025,DZIR,ZIRAKPUR,BANGA-NAWANSHAHR,03MT,4300,5900,110
01-01-2025,31-12-2025,DZIR,ZIRAKPUR,BANGA-NAWANSHAHR,05MT,5900,9428,110
01-01-2025,31-12-2025,UROO,ROORKEE,NEHTAUR-BIJNOR,03MT,4450,5350,129
01-01-2025,31-12-2025,UROO,ROORKEE,NEHTAUR-BIJNOR,05MT,5350,7300,129
01-01-2025,31-12-2025,UROO,ROORKEE,NEHTAUR-BIJNOR,09MT,7300,11100,129
01-01-2025,31-12-2025,UROO,ROORKEE,NEHTAUR-BIJNOR,15MT,11100,12700,129
01-01-2025,31-12-2025,UROO,ROORKEE,NEHTAUR-BIJNOR,20MT,12700,15234,129
01-01-2025,31-12-2025,UROO,ROORKEE,AHMAD NAGAR-MEERUT,03MT,4650,6050,145
01-01-2025,31-12-2025,UROO,ROORKEE,AHMAD NAGAR-MEERUT,05MT,6050,7900,145
01-01-2025,31-12-2025,DUDA,UDAIPUR,CHHOTI SADARI-PRATAPGARH,03MT,6000,9000,165
01-01-2025,31-12-2025,DUDA,UDAIPUR,CHHOTI SADARI-PRATAPGARH,05MT,9000,14382,165
01-01-2025,31-12-2025,DAHM,AHMEDABAD,PATDI-SURENDRA NAGAR,03MT,7000,9000,112
01-01-2025,31-12-2025,DAHM,AHMEDABAD,PATDI-SURENDRA NAGAR,05MT,9000,14382,112
