FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,TKNP,KANPUR,LALGANJ-RAI BARELI,24MT,24500,30625,113
01-01-2025,31-12-2025,USUR,SURAJPUR,"LALGANJ,LALGANJ-PRATAPGARH",09MT,26500,40100,553
01-01-2025,31-12-2025,USUR,SURAJPUR,"LALGANJ,LALGANJ-PRATAPGARH",15MT,40100,47900,553
01-01-2025,31-12-2025,USUR,SURAJPUR,"LALGANJ,LALGANJ-PRATAPGARH",20MT,47900,53800,553
01-01-2025,31-12-2025,USUR,SURAJPUR,"LALGANJ,LALGANJ-PRATAPGARH",24MT,53800,67250,553
01-01-2025,31-12-2025,DJAI,JAIPUR,LALGARH JATTAN-SRIGANGA NAGAR,03MT,10300,15900,432
01-01-2025,31-12-2025,DJAI,JAIPUR,LALGARH JATTAN-SRIGANGA NAGAR,05MT,15900,25408,432
01-01-2025,31-12-2025,UHOW,HOWRAH,LALGOLA-MURSHIDABAD,03MT,9200,13800,301
01-01-2025,31-12-2025,UHOW,HOWRAH,LALGOLA-MURSHIDABAD,06MT,13800,18377,301
01-01-2025,31-12-2025,UROO,ROORKEE,LALRU MANDI-PATIALA,09MT,9000,11400,136
01-01-2025,31-12-2025,UROO,ROORKEE,LALRU MANDI-PATIALA,15MT,11400,14900,136
01-01-2025,31-12-2025,UROO,ROORKEE,LALRU MANDI-PATIALA,20MT,14900,17600,136
01-01-2025,31-12-2025,UROO,ROORKEE,LALRU MANDI-PATIALA,24MT,17600,22000,136
01-01-2025,31-12-2025,UROO,ROORKEE,LALRU MANDI-PATIALA,25MT,17600,21120,136
01-01-2025,31-12-2025,DJAB,JABALPUR,LANJI-BALAGHAT,03MT,8300,13400,310
01-01-2025,31-12-2025,DJAB,JABALPUR,LANJI-BALAGHAT,05MT,13400,21413,310
01-01-2025,31-12-2025,UGUW,GUWAHATI,LANKA-HOJAI,09MT,16600,19800,212
01-01-2025,31-12-2025,UGUW,GUWAHATI,LANKA-HOJAI,15MT,19800,24000,212
01-01-2025,31-12-2025,UGUW,GUWAHATI,LANKA-HOJAI,21MT,24000,26500,212
01-01-2025,31-12-2025,UGUW,GUWAHATI,LANKA-HOJAI,24MT,26500,33125,212
01-01-2025,31-12-2025,DDHA,DHANBAD,LATEHAR-LATEHAR,03MT,9200,14600,263
01-01-2025,31-12-2025,DDHA,DHANBAD,LATEHAR-LATEHAR,05MT,14600,23331,263
01-01-2025,31-12-2025,UKAT,KATHUA,LATHOONG-POONCH,09MT,25800,41800,301
01-01-2025,31-12-2025,TGOV,GOVINDSAR,LATHOONG-POONCH,09MT,25800,41800,301
01-01-2025,31-12-2025,DARN,AURANGABAD,LATUR-LATUR,03MT,8500,12300,274
01-01-2025,31-12-2025,DARN,AURANGABAD,LATUR-LATUR,05MT,12300,19655,274
01-01-2025,31-12-2025,DARN,AURANGABAD,LATUR-LATUR,09MT,21500,38198,274
01-01-2025,31-12-2025,USIL,SILVASSA,LATUR-LATUR,09MT,31200,44400,688
01-01-2025,31-12-2025,USIL,SILVASSA,LATUR-LATUR,16MT,44400,56100,688
01-01-2025,31-12-2025,USIL,SILVASSA,LATUR-LATUR,21MT,56100,62700,688
