FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,USIL,SILVASSA,PILKHOD-JALGAON,21MT,35800,40200,301
01-01-2025,31-12-2025,USIL,SILVASSA,SAILU-PARBHANI,24MT,51000,63750,473
01-01-2025,31-12-2025,DJAI,JAIPUR,MANOHARTHANA-JHALAWAR,05MT,15400,24609,399
01-01-2025,31-12-2025,USIL,SILVASSA,PILKHOD-JALGAON,24MT,40200,50250,301
01-01-2025,31-12-2025,DARN,AURANGABAD,MANORA-WASHIM,03MT,8500,12300,287
01-01-2025,31-12-2025,DARN,AURANGABAD,MANORA-WASHIM,05MT,12300,19655,287
01-01-2025,31-12-2025,DARN,AURANGABAD,MANORA-WASHIM,09MT,21500,38198,287
01-01-2025,31-12-2025,UROO,ROORKEE,PILKHUWA-GHAZIABAD,09MT,7600,10100,162
01-01-2025,31-12-2025,USIL,SILVASSA,MANORA-WASHIM,09MT,29500,43700,591
01-01-2025,31-12-2025,UROO,ROORKEE,PILKHUWA-GHAZIABAD,15MT,10100,13400,162
01-01-2025,31-12-2025,USIL,SILVASSA,MANORA-WASHIM,16MT,43700,52800,591
01-01-2025,31-12-2025,UROO,ROORKEE,PILKHUWA-GHAZIABAD,20MT,13400,16073,162
01-01-2025,31-12-2025,USIL,SILVASSA,MANORA-WASHIM,21MT,52800,59800,591
01-01-2025,31-12-2025,USUR,SURAJPUR,PILKHUWA-GHAZIABAD,03MT,3600,5650,43
01-01-2025,31-12-2025,USIL,SILVASSA,MANORA-WASHIM,24MT,59800,74750,591
01-01-2025,31-12-2025,USUR,SURAJPUR,PILKHUWA-GHAZIABAD,05MT,5650,9029,43
01-01-2025,31-12-2025,UHOW,HOWRAH,SALAR-MURSHIDABAD,03MT,7400,10000,188
01-01-2025,31-12-2025,USUR,SURAJPUR,PILKHUWA-GHAZIABAD,09MT,7900,10000,43
01-01-2025,31-12-2025,UHOW,HOWRAH,SALAR-MURSHIDABAD,06MT,10000,13317,188
01-01-2025,31-12-2025,USUR,SURAJPUR,PILKHUWA-GHAZIABAD,15MT,10000,12800,43
01-01-2025,31-12-2025,DJAB,JABALPUR,MANPUR-UMARIA,03MT,6800,10600,182
01-01-2025,31-12-2025,USUR,SURAJPUR,PILKHUWA-GHAZIABAD,20MT,12800,15354,43
01-01-2025,31-12-2025,DJAB,JABALPUR,MANPUR-UMARIA,05MT,10600,16939,182
01-01-2025,31-12-2025,USIL,SILVASSA,PIMPALGAON-PUNE,09MT,19800,27400,308
01-01-2025,31-12-2025,DCUT,CUTTACK,SALIPUR-CUTTACK,03MT,1950,2500,30
01-01-2025,31-12-2025,USIL,SILVASSA,PIMPALGAON-PUNE,16MT,27400,35800,308
01-01-2025,31-12-2025,DCUT,CUTTACK,SALIPUR-CUTTACK,05MT,2500,3995,30
01-01-2025,31-12-2025,DVIJ,VIJAYAWADA,MANTRALAYAM-KURNOOL,01MT,6500,19435,520
01-01-2025,31-12-2025,USIL,SILVASSA,PIMPALGAON-PUNE,21MT,35800,40700,308
01-01-2025,31-12-2025,USIL,SILVASSA,PIMPALGAON-PUNE,24MT,40700,50875,308
