FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,UROO,ROORKEE,"SEOHARA,SEOHARA-BIJNOR",20MT,14000,16793,147
01-01-2025,31-12-2025,USIL,SILVASSA,RAJAPUR-RATNAGIRI,21MT,54700,60800,622
01-01-2025,31-12-2025,USIL,SILVASSA,RAJAPUR-RATNAGIRI,24MT,60800,76000,622
01-01-2025,31-12-2025,DGWA,GWALIOR,SEONDHA-DATTA,03MT,4500,6800,120
01-01-2025,31-12-2025,DGWA,GWALIOR,SEONDHA-DATTA,05MT,6800,10866,120
01-01-2025,31-12-2025,DIND,INDORE,SEONI MALWA-HOSHANGABAD,03MT,5700,8500,235
01-01-2025,31-12-2025,DIND,INDORE,SEONI MALWA-HOSHANGABAD,05MT,8500,13583,235
01-01-2025,31-12-2025,USUR,SURAJPUR,RAJATALAB-VARANASI,09MT,30700,45000,757
01-01-2025,31-12-2025,USUR,SURAJPUR,RAJATALAB-VARANASI,15MT,45000,53000,757
01-01-2025,31-12-2025,USUR,SURAJPUR,RAJATALAB-VARANASI,20MT,53000,60000,757
01-01-2025,31-12-2025,USUR,SURAJPUR,RAJATALAB-VARANASI,24MT,60000,75000,757
01-01-2025,31-12-2025,UROO,ROORKEE,TARAN TARAN-TARAN TARAN,09MT,11400,16600,381
01-01-2025,31-12-2025,UROO,ROORKEE,TARAN TARAN-TARAN TARAN,15MT,16600,21900,381
01-01-2025,31-12-2025,UHOW,HOWRAH,RAJDHANWAR-GIRIDIH,09MT,21700,24000,390
01-01-2025,31-12-2025,UROO,ROORKEE,TARAN TARAN-TARAN TARAN,20MT,21900,26100,381
01-01-2025,31-12-2025,UHOW,HOWRAH,RAJDHANWAR-GIRIDIH,16MT,24000,30000,390
01-01-2025,31-12-2025,UROO,ROORKEE,TARAN TARAN-TARAN TARAN,24MT,26100,32625,381
01-01-2025,31-12-2025,UHOW,HOWRAH,RAJDHANWAR-GIRIDIH,21MT,30000,34500,390
01-01-2025,31-12-2025,UHOW,HOWRAH,RAJDHANWAR-GIRIDIH,25MT,34500,41400,390
01-01-2025,31-12-2025,UHOW,HOWRAH,RAJGANGPUR-SUNDARGARH,09MT,22200,27500,535
01-01-2025,31-12-2025,UROO,ROORKEE,TARAN TARAN-TARAN TARAN,25MT,26100,31320,381
01-01-2025,31-12-2025,UHOW,HOWRAH,RAJGANGPUR-SUNDARGARH,16MT,27500,36077,535
01-01-2025,31-12-2025,DAHM,AHMEDABAD,RAJKOT-RAJKOT,03MT,8500,10000,225
01-01-2025,31-12-2025,DAHM,AHMEDABAD,RAJKOT-RAJKOT,05MT,10000,15980,225
01-01-2025,31-12-2025,DROO,YAMUNA NAGAR,SHAHABAD MARKANDA-KURUKSHETRA,03MT,3200,4750,46
01-01-2025,31-12-2025,DDHA,DHANBAD,RAJMAHAL-SAHIBGANJ,03MT,9000,12700,329
01-01-2025,31-12-2025,DROO,YAMUNA NAGAR,SHAHABAD MARKANDA-KURUKSHETRA,05MT,4750,7591,46
01-01-2025,31-12-2025,DDHA,DHANBAD,RAJMAHAL-SAHIBGANJ,05MT,12700,20295,329
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,SHAHABAD-KALABURAGI,03MT,6600,10300,150
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,SHAHABAD-KALABURAGI,05MT,10300,14250,150
