FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDIDEEP-RAISEN,21MT,22000,24600,200
01-01-2025,31-12-2025,UUJJ,UJJAIN,MANDIDEEP-RAISEN,24MT,24600,30750,200
01-01-2025,31-12-2025,TKNP,KANPUR,FARRUKHABAD-FARRUKHABAD,09MT,11000,17000,152
01-01-2025,31-12-2025,TKNP,KANPUR,FARRUKHABAD-FARRUKHABAD,15MT,17000,22000,152
01-01-2025,31-12-2025,TKNP,KANPUR,FARRUKHABAD-FARRUKHABAD,20MT,22000,25800,152
01-01-2025,31-12-2025,TKNP,KANPUR,FARRUKHABAD-FARRUKHABAD,24MT,25800,32250,152
01-01-2025,31-12-2025,DJAL,JALPAIGURI,OODLABARI-JALPAIGURI,03MT,5800,8300,58
01-01-2025,31-12-2025,DJAL,JALPAIGURI,OODLABARI-JALPAIGURI,06MT,8300,11053,58
01-01-2025,31-12-2025,DJAI,JAIPUR,BARMER-BARMER,03MT,10700,16200,573
01-01-2025,31-12-2025,DJAI,JAIPUR,BARMER-BARMER,05MT,16200,25888,573
01-01-2025,31-12-2025,DJAI,JAIPUR,SADUL SHAHAR-GANGANAGAR,03MT,10200,15700,428
01-01-2025,31-12-2025,DJAI,JAIPUR,SADUL SHAHAR-GANGANAGAR,05MT,15700,25089,428
01-01-2025,31-12-2025,DARN,AURANGABAD,VAIJAPUR-CHHATRAPATI SAMBHAJINAGAR,03MT,4400,6500,61
01-01-2025,31-12-2025,DARN,AURANGABAD,VAIJAPUR-CHHATRAPATI SAMBHAJINAGAR,05MT,6500,10000,61
01-01-2025,31-12-2025,DARN,AURANGABAD,VAIJAPUR-CHHATRAPATI SAMBHAJINAGAR,09MT,10000,17767,61
01-01-2025,31-12-2025,DIND,INDORE,BEED-KHANDWA EAST NIMAR,03MT,5300,8200,180
01-01-2025,31-12-2025,DIND,INDORE,BEED-KHANDWA EAST NIMAR,05MT,8200,13104,180
01-01-2025,31-12-2025,TKNP,KANPUR,AURANGABAD-AURANGABAD,20MT,59800,69200,1197
01-01-2025,31-12-2025,TKNP,KANPUR,AURANGABAD-AURANGABAD,24MT,69200,86500,1197
01-01-2025,31-12-2025,DJAB,JABALPUR,BAMHNI BANJAR-MANDLA,03MT,5800,8000,128
01-01-2025,31-12-2025,DJAB,JABALPUR,BAMHNI BANJAR-MANDLA,05MT,8000,12784,128
01-01-2025,31-12-2025,DAHM,AHMEDABAD,BHABHAR-BANAS KANTHA,03MT,10800,12900,233
01-01-2025,31-12-2025,DAHM,AHMEDABAD,BHABHAR-BANAS KANTHA,05MT,12900,20614,233
01-01-2025,31-12-2025,DHYD,HYDERABAD,HYDERABAD-RANGA REDDY,01MT,3000,8970,95
01-01-2025,31-12-2025,DARN,AURANGABAD,SHANIWAR PETH-SOLAPUR,03MT,9200,13800,350
01-01-2025,31-12-2025,DARN,AURANGABAD,SHANIWAR PETH-SOLAPUR,05MT,13800,22052,350
01-01-2025,31-12-2025,DARN,AURANGABAD,SHANIWAR PETH-SOLAPUR,09MT,24200,42995,350
01-01-2025,31-12-2025,DBNG,BANGALORE,CHITRADURGA-CHITRADURGA,01MT,6800,20332,180
01-01-2025,31-12-2025,DRAI,RAIPUR,BHAIYATHAN-SURAJPUR,03MT,7200,10700,350
01-01-2025,31-12-2025,DRAI,RAIPUR,BHAIYATHAN-SURAJPUR,05MT,10700,17099,350
