FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,USUR,SURAJPUR,DHANKAUR-GAUTAM BUDDHA NAGAR,15MT,9000,9600,25
01-01-2025,31-12-2025,USUR,SURAJPUR,DHANKAUR-GAUTAM BUDDHA NAGAR,20MT,9600,11515,25
01-01-2025,31-12-2025,USUR,SURAJPUR,LAKHIMPUR KHERI-KHERI,09MT,19000,25200,428
01-01-2025,31-12-2025,USUR,SURAJPUR,LAKHIMPUR KHERI-KHERI,15MT,25200,30600,428
01-01-2025,31-12-2025,USUR,SURAJPUR,LAKHIMPUR KHERI-KHERI,20MT,30600,36705,428
01-01-2025,31-12-2025,USUR,SURAJPUR,MOHAMMDI-KHERI,09MT,16000,20700,355
01-01-2025,31-12-2025,USUR,SURAJPUR,MOHAMMDI-KHERI,15MT,20700,25500,355
01-01-2025,31-12-2025,USUR,SURAJPUR,MOHAMMDI-KHERI,20MT,25500,30587,355
01-01-2025,31-12-2025,USUR,SURAJPUR,POWAYAN-SHAHJAHANPUR,09MT,15400,20000,370
01-01-2025,31-12-2025,USUR,SURAJPUR,POWAYAN-SHAHJAHANPUR,15MT,20000,25000,370
01-01-2025,31-12-2025,USUR,SURAJPUR,POWAYAN-SHAHJAHANPUR,20MT,25000,29987,370
01-01-2025,31-12-2025,USUR,SURAJPUR,SAHAJAHANPUR-SHAHJAHANPUR,09MT,15500,20000,341
01-01-2025,31-12-2025,USUR,SURAJPUR,SAHAJAHANPUR-SHAHJAHANPUR,15MT,20000,24000,341
01-01-2025,31-12-2025,USUR,SURAJPUR,SAHAJAHANPUR-SHAHJAHANPUR,20MT,24000,28788,341
01-01-2025,31-12-2025,USUR,SURAJPUR,BHINGA-SHRAWASTI,09MT,29300,42300,695
01-01-2025,31-12-2025,USUR,SURAJPUR,BHINGA-SHRAWASTI,15MT,42300,50900,695
01-01-2025,31-12-2025,USUR,SURAJPUR,BHINGA-SHRAWASTI,20MT,50900,59700,695
01-01-2025,31-12-2025,USUR,SURAJPUR,BHINGA-SHRAWASTI,24MT,59700,74625,695
01-01-2025,31-12-2025,USUR,SURAJPUR,BHANDARA-BHANDARA,20MT,61400,72200,1151
01-01-2025,31-12-2025,USUR,SURAJPUR,BHANDARA-BHANDARA,24MT,72200,90250,1151
01-01-2025,31-12-2025,USUR,SURAJPUR,PALIA KALAN-KHERI,09MT,18100,24200,408
01-01-2025,31-12-2025,USUR,SURAJPUR,PALIA KALAN-KHERI,15MT,24200,29900,408
01-01-2025,31-12-2025,USUR,SURAJPUR,PALIA KALAN-KHERI,20MT,29900,35865,408
01-01-2025,31-12-2025,DBNG,BANGALORE,BANGALORE-BENGALURU URBAN,01MT,3200,9568,30
01-01-2025,31-12-2025,DDHA,DHANBAD,PAKUR-DHANBAD,03MT,9100,12800,273
01-01-2025,31-12-2025,DDHA,DHANBAD,PAKUR-DHANBAD,05MT,12800,20454,273
01-01-2025,31-12-2025,DDHA,DHANBAD,PETO-HAZARIBAGH,03MT,4800,6700,110
01-01-2025,31-12-2025,DDHA,DHANBAD,PETO-HAZARIBAGH,05MT,6700,10707,110
01-01-2025,31-12-2025,THAR,OKHLA,TELIWARA-NORTH DELHI,03MT,2700,3200,22
01-01-2025,31-12-2025,THAR,OKHLA,TELIWARA-NORTH DELHI,05MT,3200,3900,22
