FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,UUJJ,UJJAIN,HOSHANGABAD-HOSHANGABAD,21MT,24500,27000,290
01-01-2025,31-12-2025,UUJJ,UJJAIN,HOSHANGABAD-HOSHANGABAD,24MT,27000,33750,290
01-01-2025,31-12-2025,UUJJ,UJJAIN,INDORE-INDORE,09MT,8000,10000,80
01-01-2025,31-12-2025,UUJJ,UJJAIN,INDORE-INDORE,16MT,10000,13000,80
01-01-2025,31-12-2025,UUJJ,UJJAIN,INDORE-INDORE,21MT,13000,14500,80
01-01-2025,31-12-2025,UUJJ,UJJAIN,INDORE-INDORE,24MT,14500,18125,80
01-01-2025,31-12-2025,UUJJ,UJJAIN,ISHANAGAR-CHHATARPUR,09MT,28000,34000,495
01-01-2025,31-12-2025,UUJJ,UJJAIN,ISHANAGAR-CHHATARPUR,16MT,34000,37000,495
01-01-2025,31-12-2025,UUJJ,UJJAIN,ISHANAGAR-CHHATARPUR,21MT,37000,40200,495
01-01-2025,31-12-2025,UUJJ,UJJAIN,ISHANAGAR-CHHATARPUR,24MT,40200,50250,495
01-01-2025,31-12-2025,UUJJ,UJJAIN,ITARSI-HOSHANGABAD,09MT,15100,20500,270
01-01-2025,31-12-2025,UUJJ,UJJAIN,ITARSI-HOSHANGABAD,16MT,20500,24500,270
01-01-2025,31-12-2025,UUJJ,UJJAIN,ITARSI-HOSHANGABAD,21MT,24500,27000,270
01-01-2025,31-12-2025,UUJJ,UJJAIN,ITARSI-HOSHANGABAD,24MT,27000,33750,270
01-01-2025,31-12-2025,UUJJ,UJJAIN,JAORA-RATLAM,03MT,6000,8200,150
01-01-2025,31-12-2025,UUJJ,UJJAIN,JAORA-RATLAM,05MT,8200,13100,150
01-01-2025,31-12-2025,UUJJ,UJJAIN,JAORA-RATLAM,09MT,13100,17100,150
01-01-2025,31-12-2025,UUJJ,UJJAIN,JAORA-RATLAM,16MT,17100,19500,150
01-01-2025,31-12-2025,UUJJ,UJJAIN,JAORA-RATLAM,21MT,19500,21800,150
01-01-2025,31-12-2025,UUJJ,UJJAIN,JAORA-RATLAM,24MT,21800,27250,150
01-01-2025,31-12-2025,UUJJ,UJJAIN,JATARA-TIKAMGARH,09MT,28000,34000,500
01-01-2025,31-12-2025,UUJJ,UJJAIN,JATARA-TIKAMGARH,16MT,34000,37000,500
01-01-2025,31-12-2025,UUJJ,UJJAIN,JATARA-TIKAMGARH,21MT,37000,40200,500
01-01-2025,31-12-2025,UUJJ,UJJAIN,JATARA-TIKAMGARH,24MT,40200,50250,500
01-01-2025,31-12-2025,UUJJ,UJJAIN,JAWAR-SEHORE,09MT,11500,14000,120
01-01-2025,31-12-2025,UUJJ,UJJAIN,JAWAR-SEHORE,16MT,14000,16500,120
01-01-2025,31-12-2025,UUJJ,UJJAIN,JAWAR-SEHORE,21MT,16500,18000,120
01-01-2025,31-12-2025,UUJJ,UJJAIN,JAWAR-SEHORE,24MT,18000,22500,120
01-01-2025,31-12-2025,UUJJ,UJJAIN,KANNOD-DEWAS,09MT,11500,14000,120
01-01-2025,31-12-2025,UUJJ,UJJAIN,KANNOD-DEWAS,16MT,14000,16500,120
