FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,THAR,OKHLA,KRISHNA NAGAR-EAST DELHI,03MT,2700,3200,20
01-01-2025,31-12-2025,THAR,OKHLA,KRISHNA NAGAR-EAST DELHI,05MT,3200,3800,20
01-01-2025,31-12-2025,THAR,OKHLA,KRISHNA NAGAR-EAST DELHI,09MT,3800,6100,20
01-01-2025,31-12-2025,THAR,OKHLA,KRISHNA NAGAR-EAST DELHI,15MT,6100,8129,20
01-01-2025,31-12-2025,THAR,OKHLA,WEST VINOD NAGAR-EAST DELHI,03MT,2500,3000,18
01-01-2025,31-12-2025,THAR,OKHLA,WEST VINOD NAGAR-EAST DELHI,05MT,3000,3600,18
01-01-2025,31-12-2025,THAR,OKHLA,WEST VINOD NAGAR-EAST DELHI,09MT,3600,5800,18
01-01-2025,31-12-2025,THAR,OKHLA,WEST VINOD NAGAR-EAST DELHI,15MT,5800,7729,18
01-01-2025,31-12-2025,UHOW,HOWRAH,BELARI-BARDHAMAN,03MT,6000,8200,130
01-01-2025,31-12-2025,UHOW,HOWRAH,BELARI-BARDHAMAN,06MT,8200,10920,130
01-01-2025,31-12-2025,DBHA,BHATINDA,ZIRA-FEROZEPUR,03MT,5500,7500,117
01-01-2025,31-12-2025,DBHA,BHATINDA,ZIRA-FEROZEPUR,05MT,7500,11985,117
01-01-2025,31-12-2025,DHYD,HYDERABAD,MANCHERIAL-MANCHERIAL,03MT,7500,11000,262
01-01-2025,31-12-2025,DHYD,HYDERABAD,MANCHERIAL-MANCHERIAL,05MT,11000,17578,262
01-01-2025,31-12-2025,DHYD,HYDERABAD,YELLAREDDY-NIZAMABAD,01MT,5000,14950,175
01-01-2025,31-12-2025,USIL,SILVASSA,MAPUSA-NORTH GOA,09MT,44000,64000,732
01-01-2025,31-12-2025,USIL,SILVASSA,MAPUSA-NORTH GOA,16MT,64000,71500,732
01-01-2025,31-12-2025,USIL,SILVASSA,MAPUSA-NORTH GOA,21MT,71500,81000,732
01-01-2025,31-12-2025,USIL,SILVASSA,MAPUSA-NORTH GOA,24MT,81000,101250,732
01-01-2025,31-12-2025,USIL,SILVASSA,JARIPATKA-NAGPUR,09MT,36400,48100,817
01-01-2025,31-12-2025,USIL,SILVASSA,JARIPATKA-NAGPUR,16MT,48100,60000,817
01-01-2025,31-12-2025,USIL,SILVASSA,JARIPATKA-NAGPUR,21MT,60000,68000,817
01-01-2025,31-12-2025,USIL,SILVASSA,JARIPATKA-NAGPUR,24MT,68000,85000,817
01-01-2025,31-12-2025,USUR,SURAJPUR,PAHARGANJ-CENTRAL DELHI,09MT,5600,8900,38
01-01-2025,31-12-2025,USUR,SURAJPUR,PAHARGANJ-CENTRAL DELHI,15MT,8900,11861,38
01-01-2025,31-12-2025,USUR,SURAJPUR,AYODHYA-FIROZABAD,09MT,28000,40900,647
01-01-2025,31-12-2025,USUR,SURAJPUR,AYODHYA-FIROZABAD,15MT,40900,48800,647
01-01-2025,31-12-2025,USUR,SURAJPUR,AYODHYA-FIROZABAD,20MT,48800,56000,647
01-01-2025,31-12-2025,USUR,SURAJPUR,AYODHYA-FIROZABAD,24MT,56000,70000,647
01-01-2025,31-12-2025,USUR,SURAJPUR,JAHANGIRABAD-BULANDSHAHR,03MT,5200,7500,73
