FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,DMUR,MURTHAL,DHANKOT-GURGAON,03MT,3900,6000,75
01-01-2025,31-12-2025,DMUR,MURTHAL,DHANKOT-GURGAON,05MT,6000,9588,75
01-01-2025,31-12-2025,DPAR,KALA AMB,DHANOTU-MANDI,03MT,10400,13400,230
01-01-2025,31-12-2025,DPAR,KALA AMB,DHANOTU-MANDI,05MT,13400,21413,230
01-01-2025,31-12-2025,USIL,SILVASSA,DHARAMPUR-VALSAD,03MT,4200,4900,52
01-01-2025,31-12-2025,USIL,SILVASSA,DHARAMPUR-VALSAD,05MT,4900,5600,52
01-01-2025,31-12-2025,USIL,SILVASSA,DHARAMPUR-VALSAD,09MT,5600,7800,52
01-01-2025,31-12-2025,USIL,SILVASSA,DHARAMPUR-VALSAD,16MT,7800,10233,52
01-01-2025,31-12-2025,DIND,INDORE,DHARAMPURI-DHAR,03MT,4950,6700,140
01-01-2025,31-12-2025,DIND,INDORE,DHARAMPURI-DHAR,05MT,6700,10707,140
01-01-2025,31-12-2025,DPAR,KALA AMB,DHARANDA-MANDI,03MT,12000,13900,254
01-01-2025,31-12-2025,DPAR,KALA AMB,DHARANDA-MANDI,05MT,13900,22212,254
01-01-2025,31-12-2025,DUDA,UDAIPUR,DHARIYAWAD-PRATAPGARH,03MT,5300,8100,133
01-01-2025,31-12-2025,DUDA,UDAIPUR,DHARIYAWAD-PRATAPGARH,05MT,8100,12944,133
01-01-2025,31-12-2025,DARN,AURANGABAD,DHARMABAD-NANDED,03MT,11500,16500,410
01-01-2025,31-12-2025,DARN,AURANGABAD,DHARMABAD-NANDED,05MT,16500,26300,410
01-01-2025,31-12-2025,DARN,AURANGABAD,DHARMABAD-NANDED,09MT,26300,46726,410
01-01-2025,31-12-2025,USIL,SILVASSA,DHARMABAD-NANDED,09MT,36800,50200,848
01-01-2025,31-12-2025,USIL,SILVASSA,DHARMABAD-NANDED,16MT,50200,63400,848
01-01-2025,31-12-2025,USIL,SILVASSA,DHARMABAD-NANDED,21MT,63400,70600,848
01-01-2025,31-12-2025,USIL,SILVASSA,DHARMABAD-NANDED,24MT,70600,88250,848
01-01-2025,31-12-2025,UGUW,GUWAHATI,DHARMANAGAR-NORTH TRIPURA,09MT,38500,47700,405
01-01-2025,31-12-2025,UGUW,GUWAHATI,DHARMANAGAR-NORTH TRIPURA,15MT,47700,62000,405
01-01-2025,31-12-2025,UGUW,GUWAHATI,DHARMANAGAR-NORTH TRIPURA,21MT,62000,64000,405
01-01-2025,31-12-2025,UGUW,GUWAHATI,DHARMANAGAR-NORTH TRIPURA,24MT,64000,80000,405
01-01-2025,31-12-2025,DVIJ,VIJAYAWADA,DHARMAVARAM-ANANTAPUR,01MT,6500,19435,527
01-01-2025,31-12-2025,DARN,AURANGABAD,DHARNI-AMRAVATI,03MT,9200,13700,372
01-01-2025,31-12-2025,DARN,AURANGABAD,DHARNI-AMRAVATI,05MT,13700,21893,372
01-01-2025,31-12-2025,DARN,AURANGABAD,DHARNI-AMRAVATI,09MT,24200,42995,372
01-01-2025,31-12-2025,DVJP,VIJAYAPURA,DHARWAD-DHARWAD,03MT,7500,11700,219
