FU Creation Date_min_inclusive,FU Creation Date_max_exclusive,Consignor Ext Id,originHub,destinationHub,_cf_fixed_ApprovedWeight,Approved Freight_1,Approved Freight_2,Distance(KM)
01-01-2025,31-12-2025,TGOV,GOVINDSAR,SAMBA-SAMBA,10MT,5500,8250,46
01-01-2025,31-12-2025,DCUT,CUTTACK,SORANA-KHORDHA,05MT,7600,12145,106
01-01-2025,31-12-2025,DCUT,CUTTACK,SAMBALPUR-SAMBALPUR,03MT,6300,10479,267
01-01-2025,31-12-2025,DCUT,CUTTACK,SAMBALPUR-SAMBALPUR,05MT,10800,17258,267
01-01-2025,31-12-2025,DMUR,MURTHAL,SAMPLA-ROHTAK,03MT,2900,4650,52
01-01-2025,31-12-2025,DMUR,MURTHAL,SAMPLA-ROHTAK,05MT,4650,7431,52
01-01-2025,31-12-2025,DJAI,JAIPUR,SRI BIJAY NAGAR-SRI GANGA NAGAR,03MT,9900,14900,403
01-01-2025,31-12-2025,DAHM,AHMEDABAD,SANAND-AHMEDABAD,03MT,4000,5200,29
01-01-2025,31-12-2025,DJAI,JAIPUR,SRI BIJAY NAGAR-SRI GANGA NAGAR,05MT,14900,23810,403
01-01-2025,31-12-2025,DAHM,AHMEDABAD,SANAND-AHMEDABAD,05MT,5200,8310,29
01-01-2025,31-12-2025,THAR,OKHLA,SANGAM VIHAR-SOUTH DELHI,03MT,2050,2500,8
01-01-2025,31-12-2025,THAR,OKHLA,SANGAM VIHAR-SOUTH DELHI,05MT,2500,2950,8
01-01-2025,31-12-2025,THAR,OKHLA,SANGAM VIHAR-SOUTH DELHI,09MT,2950,3900,8
01-01-2025,31-12-2025,USUR,SURAJPUR,"PIPLANI-BURHANPUR,PIPLANI-BHOPAL",09MT,34500,42000,804
01-01-2025,31-12-2025,THAR,OKHLA,SANGAM VIHAR-SOUTH DELHI,15MT,3900,5197,8
01-01-2025,31-12-2025,USUR,SURAJPUR,"PIPLANI-BURHANPUR,PIPLANI-BHOPAL",15MT,42000,49000,804
01-01-2025,31-12-2025,USUR,SURAJPUR,SANGAM VIHAR-SOUTH DELHI,09MT,5300,8600,34
01-01-2025,31-12-2025,USUR,SURAJPUR,"PIPLANI-BURHANPUR,PIPLANI-BHOPAL",20MT,49000,50000,804
01-01-2025,31-12-2025,USUR,SURAJPUR,SANGAM VIHAR-SOUTH DELHI,15MT,8600,11461,34
01-01-2025,31-12-2025,USUR,SURAJPUR,"PIPLANI-BURHANPUR,PIPLANI-BHOPAL",24MT,50000,62500,804
01-01-2025,31-12-2025,USUR,SURAJPUR,PIPRAICH-PIPRAICH,09MT,29400,45000,811
01-01-2025,31-12-2025,DJAI,JAIPUR,SRI DUNGARGARH-BIKANER,03MT,8500,12800,208
01-01-2025,31-12-2025,THAR,OKHLA,"SANGAM VIHAR,SANGAM VIHAR-SOUTH EAST DELHI",03MT,2050,2500,8
01-01-2025,31-12-2025,USUR,SURAJPUR,PIPRAICH-PIPRAICH,15MT,45000,52700,811
01-01-2025,31-12-2025,DJAI,JAIPUR,SRI DUNGARGARH-BIKANER,05MT,12800,20454,208
01-01-2025,31-12-2025,USUR,SURAJPUR,PIPRAICH-PIPRAICH,20MT,52700,60500,811
01-01-2025,31-12-2025,THAR,OKHLA,"SANGAM VIHAR,SANGAM VIHAR-SOUTH EAST DELHI",05MT,2500,2950,8
01-01-2025,31-12-2025,THAR,OKHLA,"SANGAM VIHAR,SANGAM VIHAR-SOUTH EAST DELHI",09MT,2950,3900,8
01-01-2025,31-12-2025,USUR,SURAJPUR,PIPRAICH-PIPRAICH,24MT,60500,75625,811
01-01-2025,31-12-2025,THAR,OKHLA,"SANGAM VIHAR,SANGAM VIHAR-SOUTH EAST DELHI",15MT,3900,5197,8
